FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
0,1769589272393,0.000000,88.4377,527.5523,-390.5764,0.519257,0.482694,-0.417702,0.568247,1.219703,1.133819,-0.981156,-0.394427,-0.287864,0.256704,2.513229,-1.559453,-0.152802,-0.392969,-0.292904,0.265146,2.691722,-1.411672,-0.096939
1,1769589272404,0.011111,88.4484,527.5782,-390.5890,0.519275,0.482688,-0.417679,0.568252,1.219745,1.133802,-0.981101,-0.394427,-0.287860,0.256716,2.513226,-1.559427,-0.152838,-0.392965,-0.292925,0.265171,2.691676,-1.411735,-0.096897
2,1769589272415,0.022223,88.4392,527.4996,-390.5871,0.519287,0.482669,-0.417671,0.568263,1.219766,1.133753,-0.981078,-0.394411,-0.287870,0.256684,2.513290,-1.559436,-0.152767,-0.392962,-0.292912,0.265093,2.691659,-1.411815,-0.096905
3,1769589272426,0.033334,88.4494,527.5078,-390.5979,0.519280,0.482669,-0.417677,0.568265,1.219748,1.133753,-0.981092,-0.394417,-0.287863,0.256706,2.513245,-1.559442,-0.152822,-0.392963,-0.292926,0.265100,2.691663,-1.411797,-0.096928
4,1769589272437,0.044445,88.3240,527.5330,-390.5399,0.519291,0.482724,-0.417626,0.568246,1.219784,1.133890,-0.980979,-0.394408,-0.287869,0.256708,2.513260,-1.559425,-0.152828,-0.392911,-0.292818,0.265129,2.691572,-1.411725,-0.096776
5,1769589272448,0.055556,88.3141,527.5276,-390.5214,0.519261,0.482695,-0.417649,0.568281,1.219695,1.133806,-0.981020,-0.394422,-0.287869,0.256715,2.513204,-1.559430,-0.152821,-0.392929,-0.292786,0.265124,2.691577,-1.411748,-0.096951
6,1769589272459,0.066667,88.3281,527.4734,-390.5299,0.519261,0.482691,-0.417660,0.568276,1.219697,1.133799,-0.981047,-0.394408,-0.287872,0.256708,2.513261,-1.559426,-0.152796,-0.392933,-0.292798,0.265070,2.691601,-1.411741,-0.096953
7,1769589272470,0.077779,88.3362,527.5079,-390.4383,0.519253,0.482730,-0.417641,0.568263,1.219687,1.133898,-0.981008,-0.394418,-0.287869,0.256729,2.513213,-1.559400,-0.152873,-0.393003,-0.292752,0.265108,2.691575,-1.411656,-0.096894
8,1769589272481,0.088890,88.3293,527.5181,-390.4182,0.519256,0.482716,-0.417650,0.568266,1.219691,1.133863,-0.981028,-0.394417,-0.287869,0.256718,2.513220,-1.559419,-0.152841,-0.393011,-0.292729,0.265119,2.691582,-1.411679,-0.096914
9,1769589272493,0.100001,88.2740,527.5072,-390.3795,0.519276,0.482731,-0.417645,0.568239,1.219753,1.133909,-0.981027,-0.394410,-0.287872,0.256720,2.513235,-1.559384,-0.152832,-0.392992,-0.292666,0.265109,2.691622,-1.411669,-0.096803
10,1769589272504,0.111112,88.2651,527.5390,-390.3725,0.519263,0.482717,-0.417631,0.568273,1.219705,1.133861,-0.980978,-0.394410,-0.287873,0.256681,2.513285,-1.559456,-0.152742,-0.392999,-0.292655,0.265142,2.691557,-1.411719,-0.096895
