FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
19,1769589430992,0.211113,88.0413,527.6193,-390.3054,0.519231,0.482648,-0.417912,0.568155,1.219691,1.133756,-0.981688,-0.394423,-0.287836,0.256704,2.513202,-1.559544,-0.152825,88.024200,527.613110,-390.300352,0.519224,0.482653,-0.417908,0.568160
20,1769589431003,0.222225,88.0220,527.5992,-390.3350,0.519218,0.482650,-0.417912,0.568165,1.219654,1.133756,-0.981684,-0.394410,-0.287852,0.256712,2.513224,-1.559480,-0.152820,88.034752,527.606167,-390.339833,0.519225,0.482652,-0.417906,0.568161
21,1769589431014,0.233336,88.0334,527.6104,-390.3501,0.519223,0.482664,-0.417883,0.568170,1.219664,1.133785,-0.981614,-0.394421,-0.287840,0.256712,2.513170,-1.559537,-0.152813,88.041038,527.598005,-390.337495,0.519221,0.482668,-0.417882,0.568169
22,1769589431025,0.244447,88.0399,527.5754,-390.3401,0.519225,0.482688,-0.417857,0.568167,1.219670,1.133843,-0.981555,-0.394429,-0.287838,0.256722,2.513169,-1.559522,-0.152868,88.019962,527.602114,-390.331352,0.519212,0.482687,-0.417853,0.568182
23,1769589431036,0.255559,87.9805,527.6300,-390.2559,0.519200,0.482713,-0.417813,0.568201,1.219595,1.133886,-0.981437,-0.394414,-0.287848,0.256712,2.513191,-1.559517,-0.152828,87.983238,527.617652,-390.289357,0.519219,0.482702,-0.417829,0.568181
24,1769589431047,0.266670,87.9111,527.6390,-390.2935,0.519214,0.482707,-0.417824,0.568185,1.219635,1.133880,-0.981469,-0.394420,-0.287842,0.256712,2.513173,-1.559524,-0.152804,87.905962,527.639676,-390.254890,0.519215,0.482716,-0.417821,0.568178
25,1769589431058,0.277781,87.8301,527.6509,-390.1665,0.519248,0.482710,-0.417819,0.568155,1.219730,1.133900,-0.981469,-0.394423,-0.287833,0.256685,2.513223,-1.559588,-0.152780,87.821090,527.652019,-390.205281,0.519221,0.482714,-0.417815,0.568180
26,1769589431069,0.288892,87.7340,527.6556,-390.1981,0.519205,0.482723,-0.417823,0.568181,1.219615,1.133919,-0.981469,-0.394419,-0.287852,0.256709,2.513215,-1.559471,-0.152795,87.764114,527.625990,-390.155505,0.519238,0.482702,-0.417816,0.568174
27,1769589431081,0.300003,87.7355,527.5987,-390.0753,0.519261,0.482675,-0.417793,0.568192,1.219742,1.133800,-0.981394,-0.394416,-0.287845,0.256688,2.513253,-1.559535,-0.152779,87.733976,527.618624,-390.095014,0.519250,0.482691,-0.417800,0.568183
28,1769589431092,0.311115,87.7533,527.5834,-390.0588,0.519274,0.482675,-0.417805,0.568172,1.219781,1.133811,-0.981429,-0.394428,-0.287838,0.256711,2.513136,-1.559589,-0.152798,87.749229,527.623171,-390.073300,0.519267,0.482678,-0.417797,0.568180
29,1769589431103,0.322226,87.7587,527.6741,-390.0585,0.519280,0.482675,-0.417781,0.568184,1.219789,1.133805,-0.981370,-0.394422,-0.287837,0.256685,2.513217,-1.559583,-0.152759,87.758819,527.633771,-390.049938,0.519290,0.482667,-0.417803,0.568165
30,1769589431114,0.333337,87.8015,527.6654,-390.0806,0.519302,0.482669,-0.417835,0.568129,1.219869,1.133817,-0.981518,-0.394427,-0.287825,0.256685,2.513229,-1.559613,-0.152793,87.764419,527.657790,-390.075052,0.519290,0.482669,-0.417819,0.568152
31,1769589431125,0.344449,87.7254,527.6476,-390.0891,0.519286,0.482665,-0.417840,0.568143,1.219824,1.133800,-0.981524,-0.394439,-0.287818,0.256682,2.513200,-1.559627,-0.152789,87.773224,527.673381,-390.112143,0.519289,0.482666,-0.417841,0.568139
32,1769589431136,0.355560,87.8096,527.6650,-390.1471,0.519279,0.482672,-0.417851,0.568135,1.219813,1.133820,-0.981552,-0.394429,-0.287832,0.256703,2.513194,-1.559559,-0.152827,87.796895,527.654586,-390.131938,0.519286,0.482676,-0.417858,0.568121
