FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
18,1769589272593,0.200002,-0.39441,-0.28787,0.256706,0.519271,0.482726,-0.417655,0.568241,1.21974,1.133897,-0.98105,-0.39441,-0.28787,0.256706,2.513256,-1.559428,-0.152788,-0.392803,-0.292646,0.265117,2.691642,-1.411667,-0.09683
19,1769589272604,0.211113,-0.39442,-0.287858,0.25671,0.519262,0.482731,-0.417671,0.568233,1.219723,1.133912,-0.981091,-0.39442,-0.287858,0.25671,2.513222,-1.559472,-0.15284,-0.392795,-0.292667,0.265086,2.69167,-1.411616,-0.096841
20,1769589272615,0.222225,-0.394412,-0.287875,0.256724,0.519315,0.48273,-0.41767,0.568185,1.219872,1.133934,-0.981108,-0.394412,-0.287875,0.256724,2.513202,-1.559416,-0.152827,-0.392869,-0.292718,0.265097,2.691742,-1.411668,-0.096642
21,1769589272626,0.233336,-0.394421,-0.287859,0.256689,0.519299,0.482703,-0.41771,0.568195,1.219828,1.133865,-0.981198,-0.394421,-0.287859,0.256689,2.513247,-1.559488,-0.152808,-0.392868,-0.29273,0.265082,2.691807,-1.411671,-0.09675
22,1769589272637,0.244447,-0.394414,-0.287875,0.256687,0.519285,0.482698,-0.417739,0.56819,1.2198,1.133856,-0.981268,-0.394414,-0.287875,0.256687,2.513265,-1.559434,-0.152745,-0.392902,-0.292767,0.26511,2.691839,-1.411614,-0.096799
23,1769589272648,0.255558,-0.39443,-0.287865,0.256752,0.519286,0.482692,-0.417753,0.568184,1.219804,1.133845,-0.981303,-0.39443,-0.287865,0.256752,2.513139,-1.559393,-0.152919,-0.39291,-0.292799,0.265081,2.691897,-1.411621,-0.096801
24,1769589272659,0.26667,-0.394413,-0.287873,0.256705,0.519313,0.482695,-0.417749,0.56816,1.219881,1.133862,-0.981303,-0.394413,-0.287873,0.256705,2.513263,-1.559412,-0.152818,-0.392975,-0.292833,0.265042,2.691889,-1.411626,-0.096695
25,1769589272670,0.277781,-0.394408,-0.287868,0.256685,0.519281,0.482709,-0.417743,0.568181,1.219795,1.133887,-0.981281,-0.394408,-0.287868,0.256685,2.513304,-1.559422,-0.152749,-0.392994,-0.292838,0.265077,2.691874,-1.411584,-0.096782
26,1769589272681,0.288892,-0.39442,-0.287868,0.256729,0.519284,0.482724,-0.417738,0.568169,1.219808,1.133927,-0.981274,-0.39442,-0.287868,0.256729,2.513197,-1.55941,-0.152854,-0.392978,-0.29287,0.265085,2.691854,-1.41154,-0.096735
27,1769589272693,0.300004,-0.394406,-0.287869,0.256706,0.519285,0.482723,-0.417727,0.568177,1.219806,1.133922,-0.981245,-0.394406,-0.287869,0.256706,2.513249,-1.559447,-0.152794,-0.392911,-0.292878,0.26507,2.691839,-1.411568,-0.096739
28,1769589272704,0.311115,-0.394421,-0.287864,0.256714,0.519287,0.482734,-0.417711,0.568178,1.21981,1.133946,-0.981206,-0.394421,-0.287864,0.256714,2.513235,-1.559412,-0.152836,-0.392911,-0.292891,0.265076,2.691818,-1.411572,-0.096715
