FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
760,1776231674679,10.666822,-293.372,52.989,459.645,0.351038,-0.611099,0.615798,0.352311,0.908279,-1.581165,1.593323,-0.293372,0.052989,0.459645,0.659199,-3.040902,0.078876
761,1776231674690,10.677934,-294.147,52.991,459.669,0.350923,-0.611204,0.615741,0.352343,0.907969,-1.581412,1.593151,-0.294147,0.052991,0.459669,0.65912,-3.040864,0.078768
762,1776231674702,10.689045,-294.559,53.001,459.642,0.351132,-0.611097,0.615781,0.352252,0.90855,-1.581203,1.593323,-0.294559,0.053001,0.459642,0.659225,-3.040925,0.0789
763,1776231674713,10.700156,-295.341,52.998,459.617,0.35106,-0.611142,0.615814,0.352187,0.908391,-1.581371,1.593459,-0.295341,0.052998,0.459617,0.659199,-3.040994,0.079056
764,1776231674724,10.711267,-295.746,53.007,459.595,0.351158,-0.611107,0.615798,0.352177,0.908649,-1.581288,1.593426,-0.295746,0.053007,0.459595,0.65921,-3.041058,0.079133
765,1776231674735,10.722379,-296.143,53.018,459.585,0.351151,-0.611173,0.615807,0.352055,0.908685,-1.58155,1.593541,-0.296143,0.053018,0.459585,0.659142,-3.041097,0.079171
766,1776231674746,10.73349,-296.954,53.052,459.528,0.351252,-0.611134,0.615795,0.352042,0.90895,-1.58146,1.593521,-0.296954,0.053052,0.459528,0.659002,-3.041276,0.079375
767,1776231674757,10.744602,-297.349,53.074,459.523,0.35121,-0.611119,0.615855,0.352007,0.908857,-1.581447,1.593702,-0.297349,0.053074,0.459523,0.658887,-3.041358,0.079384
768,1776231674768,10.755713,-298.121,53.077,459.548,0.351137,-0.611088,0.615863,0.352118,0.90862,-1.581283,1.593639,-0.298121,0.053077,0.459548,0.658944,-3.041245,0.079319
769,1776231674779,10.766824,-298.512,53.061,459.554,0.35124,-0.611066,0.615807,0.352152,0.908873,-1.581199,1.593468,-0.298512,0.053061,0.459554,0.659018,-3.041227,0.079346
770,1776231674790,10.777935,-298.899,53.057,459.568,0.351029,-0.611169,0.615707,0.352356,0.908237,-1.581312,1.593053,-0.298899,0.053057,0.459568,0.659048,-3.041158,0.079202
771,1776231674802,10.789047,-299.682,53.045,459.632,0.351208,-0.611092,0.615808,0.352137,0.908796,-1.581278,1.593482,-0.299682,0.053045,0.459632,0.659109,-3.041029,0.078981
772,1776231674813,10.800158,-300.08,53.045,459.629,0.351077,-0.611119,0.615795,0.352243,0.908409,-1.581267,1.593367,-0.30008,0.053045,0.459629,0.659092,-3.041039,0.078992
773,1776231674824,10.811269,-300.465,53.061,459.641,0.351206,-0.610993,0.615875,0.352193,0.908766,-1.580979,1.593613,-0.300465,0.053061,0.459641,0.659055,-3.041033,0.078978
774,1776231674835,10.822381,-301.243,53.048,459.646,0.351077,-0.611045,0.615792,0.352378,0.908352,-1.580973,1.593255,-0.301243,0.053048,0.459646,0.659088,-3.040995,0.078993
775,1776231674846,10.833492,-301.639,53.053,459.623,0.351226,-0.611065,0.615808,0.352166,0.908829,-1.581186,1.593461,-0.301639,0.053053,0.459623,0.659065,-3.041082,0.07912
776,1776231674857,10.844603,-302.419,53.05,459.618,0.351261,-0.611053,0.615816,0.352137,0.908933,-1.581177,1.593503,-0.302419,0.05305,0.459618,0.659075,-3.041108,0.079066
777,1776231674868,10.855714,-302.821,53.061,459.595,0.351292,-0.611054,0.615851,0.352044,0.909054,-1.58125,1.593663,-0.302821,0.053061,0.459595,0.659066,-3.041168,0.079156
778,1776231674879,10.866826,-303.214,53.049,459.573,0.351274,-0.610978,0.615906,0.352097,0.908984,-1.581014,1.593766,-0.303214,0.053049,0.459573,0.65916,-3.041162,0.079235
779,1776231674890,10.877937,-304.004,53.056,459.552,0.351435,-0.610945,0.615894,0.352015,0.909437,-1.58099,1.593797,-0.304004,0.053056,0.459552,0.659156,-3.041251,0.079403
780,1776231674902,10.889048,-304.404,53.067,459.518,0.351333,-0.611015,0.615853,0.352066,0.909151,-1.581133,1.593653,-0.304404,0.053067,0.459518,0.659149,-3.041318,0.079505
781,1776231674913,10.90016,-305.186,53.082,459.509,0.35132,-0.61098,0.615913,0.352036,0.909129,-1.581066,1.59383,-0.305186,0.053082,0.459509,0.659112,-3.041412,0.079539
782,1776231674924,10.911271,-305.577,53.085,459.496,0.351238,-0.61103,0.615889,0.352072,0.908901,-1.581167,1.593741,-0.305577,0.053085,0.459496,0.659096,-3.04143,0.079616
