X_mm,Y_mm,Z_mm
77.3968,516.2179,-608.4990
77.3698,516.3246,-608.4426
77.3672,516.4443,-608.3866
77.4141,516.4812,-608.2965
77.4605,516.4602,-608.2286
77.5371,516.3920,-608.2326
77.6692,516.3092,-608.2719
77.7550,516.2957,-608.3102
77.8054,516.3457,-608.2994
77.8445,516.4424,-608.2403
77.8423,516.5656,-608.1731
77.8210,516.6695,-608.1245
77.8073,516.7137,-608.1073
77.8279,516.7138,-608.0509
77.9255,516.6575,-607.8973
77.9902,516.5731,-607.7928
77.9968,516.5304,-607.8099
78.0293,516.5305,-607.8606
78.0501,516.5067,-607.8907
78.0621,516.4608,-607.8558
78.1576,516.3746,-607.7778
78.3383,516.2184,-607.6614
78.5268,516.0207,-607.5093
78.6370,515.8663,-607.4337
78.6384,515.8445,-607.4839
78.6356,515.9052,-607.5398
78.6626,515.9630,-607.5558
78.7003,516.0229,-607.5303
78.7032,516.1252,-607.4935
78.6870,516.1939,-607.4408
78.6902,516.1994,-607.3897
78.7100,516.2534,-607.3749
78.7684,516.3802,-607.3392
78.8113,516.4575,-607.3154
78.8785,516.3731,-607.2894
79.0529,516.1844,-607.1836
79.2004,516.0467,-607.1050
79.2459,516.0030,-607.0940
79.2671,516.0039,-607.0709
79.2852,516.0721,-607.0372
79.2982,516.1652,-606.9949
79.3816,516.2003,-606.9577
79.5474,516.1657,-606.9177
79.6687,516.1171,-606.8815
79.7576,516.0379,-606.8082
79.8847,515.9399,-606.6983
80.0115,515.8760,-606.5871
80.0589,515.8238,-606.4863
80.1011,515.7746,-606.3574
80.2021,515.8032,-606.2064
80.3528,515.8735,-606.0893
80.5432,515.9361,-605.9936
80.7649,515.9788,-605.8695
81.0116,515.9393,-605.6953
81.2791,515.8292,-605.4746
81.5573,515.6957,-605.2634
81.8618,515.5425,-605.1033
82.1836,515.4315,-604.9693
82.4870,515.3769,-604.8443
82.7594,515.3143,-604.7051
83.0277,515.2420,-604.4977
83.3049,515.1899,-604.2397
83.5718,515.1222,-603.9998
83.7961,515.0326,-603.8439
83.9820,514.9486,-603.7652
84.1924,514.8192,-603.6607
84.4694,514.6884,-603.4841
84.7441,514.6120,-603.2670
84.9372,514.5865,-603.0319
85.1003,514.5842,-602.7935
85.3274,514.5797,-602.5733
85.5842,514.5046,-602.3701
85.8212,514.3301,-602.1757
86.0426,514.1622,-601.9752
86.2608,514.0551,-601.7450
86.4719,513.9291,-601.5056
86.6441,513.8486,-601.3082
86.7792,513.9009,-601.1353
86.9340,513.9813,-600.9096
87.1099,514.0386,-600.6357
87.2681,514.1378,-600.3581
87.4380,514.2303,-600.0968
87.6803,514.2312,-599.8550
87.9867,514.1821,-599.6253
88.3074,514.1167,-599.3991
88.6117,514.0150,-599.1711
88.8890,513.8671,-598.9458
89.1445,513.7131,-598.7119
89.3855,513.6211,-598.4393
89.6119,513.6008,-598.1307
89.8217,513.6249,-597.8143
90.0184,513.6576,-597.5039
90.2121,513.6355,-597.1991
90.3892,513.5538,-596.8858
90.5665,513.4758,-596.5695
90.7850,513.4331,-596.2695
91.0401,513.3902,-595.9887
91.3068,513.3406,-595.7167
91.5698,513.3066,-595.4410
91.8139,513.2621,-595.1586
92.0407,513.1599,-594.8921
92.2767,513.0035,-594.6693
92.5204,512.8574,-594.4556
92.7541,512.7831,-594.1988
92.9796,512.7782,-593.9038
93.2020,512.8198,-593.6023
93.4218,512.8907,-593.3075
93.6411,512.9425,-593.0178
93.8513,512.9097,-592.7393
94.0271,512.7814,-592.4717
94.1511,512.6326,-592.1842
94.2530,512.5260,-591.8623
94.3929,512.4605,-591.5307
94.5857,512.4099,-591.2108
94.8093,512.3643,-590.9056
95.0378,512.3416,-590.6030
95.2599,512.3450,-590.2950
95.4743,512.3586,-589.9847
95.6702,512.3946,-589.6708
95.8483,512.4516,-589.3494
96.0289,512.4920,-589.0223
96.2227,512.5133,-588.6942
96.4247,512.5408,-588.3681
96.6325,512.5753,-588.0466
96.8610,512.6090,-587.7425
97.1221,512.6379,-587.4643
97.3965,512.6469,-587.1949
97.6580,512.6152,-586.9153
97.8975,512.5464,-586.6218
98.1226,512.4771,-586.3163
98.3375,512.4344,-585.9977
98.5334,512.4050,-585.6644
98.7139,512.3769,-585.3221
98.8987,512.3494,-584.9886
99.0936,512.2873,-584.6946
99.2883,512.1436,-584.4574
99.4854,511.9640,-584.2400
99.6987,511.8387,-583.9907
99.9366,511.7751,-583.7065
100.1900,511.7309,-583.4115
100.4379,511.6925,-583.1069
100.6722,511.6653,-582.7891
100.8987,511.6533,-582.4640
101.1168,511.6626,-582.1350
101.3187,511.6979,-581.8002
101.5001,511.7483,-581.4585
101.6657,511.7836,-581.1133
101.8279,511.7625,-580.7723
101.9943,511.6662,-580.4457
102.1702,511.5216,-580.1417
102.3756,511.4011,-579.8593
102.6220,511.3484,-579.5867
102.8646,511.3062,-579.3010
103.0659,511.2219,-578.9873
103.2504,511.1272,-578.6563
103.4497,511.0645,-578.3224
103.6676,511.0303,-577.9908
103.9030,511.0079,-577.6723
104.1678,510.9988,-577.3857
104.4585,510.9988,-577.1287
104.7348,510.9811,-576.8628
104.9687,510.9431,-576.5636
105.1750,510.9442,-576.2566
105.3711,511.0075,-575.9571
105.5583,511.0539,-575.6428
105.7370,511.0403,-575.3020
105.9082,510.9943,-574.9468
106.0719,510.9486,-574.5886
106.2346,510.9374,-574.2339
106.4100,510.9711,-573.8879
106.6106,511.0075,-573.5521
106.8305,511.0129,-573.2214
107.0491,510.9869,-572.8881
107.2658,510.9348,-572.5567
107.4975,510.8618,-572.2392
107.7452,510.7734,-571.9375
108.0032,510.6708,-571.6505
108.2694,510.5599,-571.3752
108.5388,510.4556,-571.1015
108.7938,510.3652,-570.8142
109.0124,510.2833,-570.4995
109.1977,510.1970,-570.1632
109.3731,510.0953,-569.8247
109.5589,509.9890,-569.4945
109.7670,509.9051,-569.1721
109.9889,509.8568,-568.8505
110.2006,509.8411,-568.5200
110.3988,509.8373,-568.1836
110.6069,509.8070,-567.8585
110.8352,509.7390,-567.5495
111.0666,509.6658,-567.2408
111.2854,509.6189,-566.9184
111.4962,509.5992,-566.5857
111.7078,509.5911,-566.2527
111.9130,509.5687,-565.9201
112.1013,509.5126,-565.5845
112.2812,509.4379,-565.2469
112.4699,509.3736,-564.9120
112.6730,509.3312,-564.5808
112.8832,509.3030,-564.2518
113.1005,509.2789,-563.9291
113.3341,509.2526,-563.6217
113.5761,509.2241,-563.3237
113.7983,509.1992,-563.0126
113.9966,509.1816,-562.6832
114.1926,509.1721,-562.3508
114.3971,509.1660,-562.0243
114.5945,509.1418,-561.6988
114.7706,509.0811,-561.3686
114.9404,508.9954,-561.0399
115.1261,508.9008,-560.7232
115.3293,508.8068,-560.4178
115.5318,508.7339,-560.1095
115.7200,508.6985,-559.7867
115.9015,508.6804,-559.4565
116.0881,508.6504,-559.1303
116.2766,508.6093,-558.8070
116.4547,508.5759,-558.4782
116.6241,508.5553,-558.1451
116.8100,508.5340,-557.8263
117.0324,508.5013,-557.5358
117.2680,508.4659,-557.2539
117.4848,508.4439,-556.9556
117.6856,508.4468,-556.6448
117.8840,508.4789,-556.3342
118.0834,508.5196,-556.0249
118.2820,508.5461,-555.7141
118.4774,508.5605,-555.4008
118.6667,508.5711,-555.0843
118.8462,508.5759,-554.7638
119.0120,508.5680,-554.4377
119.1671,508.5491,-554.1075
119.3255,508.5332,-553.7798
119.4971,508.5254,-553.4601
119.6750,508.4982,-553.1501
119.8516,508.4231,-552.8507
120.0334,508.3171,-552.5615
120.2308,508.2108,-552.2820
120.4386,508.1188,-552.0069
120.6290,508.0577,-551.7195
120.7791,508.0442,-551.4052
120.9029,508.0623,-551.0729
121.0320,508.0838,-550.7408
121.1821,508.0969,-550.4173
121.3393,508.1093,-550.0972
121.4850,508.1298,-549.7736
121.6203,508.1457,-549.4482
121.7586,508.1266,-549.1289
121.9070,508.0672,-548.8183
122.0647,508.0080,-548.5113
122.2303,507.9814,-548.2035
122.4016,507.9642,-547.8977
122.5768,507.9214,-547.5980
122.7547,507.8513,-547.3044
122.9350,507.7676,-547.0150
123.1176,507.6793,-546.7289
123.2997,507.5968,-546.4417
123.4788,507.5315,-546.1495
123.6551,507.4943,-545.8554
123.8291,507.5087,-545.5646
124.0001,507.5740,-545.2788
124.1658,507.6192,-544.9941
124.3244,507.5822,-544.7073
124.4787,507.4994,-544.4175
124.6329,507.4454,-544.1227
124.7870,507.4490,-543.8208
124.9347,507.4636,-543.5135
125.0695,507.4391,-543.2021
125.1961,507.3842,-542.8880
125.3241,507.3324,-542.5723
125.4579,507.2972,-542.2561
125.5973,507.2718,-541.9409
125.7422,507.2492,-541.6280
125.8910,507.2286,-541.3172
126.0434,507.2139,-541.0083
126.2011,507.2099,-540.7020
126.3640,507.2140,-540.3985
126.5347,507.2212,-540.0997
126.7155,507.2300,-539.8074
126.8973,507.2435,-539.5166
127.0656,507.2660,-539.2194
127.2148,507.2917,-538.9129
127.3488,507.3025,-538.5996
127.4749,507.2983,-538.2842
127.6051,507.3203,-537.9777
127.7484,507.4006,-537.6882
127.9003,507.4984,-537.4065
128.0548,507.5512,-537.1189
128.2109,507.5465,-536.8230
128.3719,507.5165,-536.5250
128.5409,507.4870,-536.2302
128.7127,507.4610,-535.9369
128.8707,507.4315,-535.6378
129.0023,507.3935,-535.3276
129.1211,507.3512,-535.0123
129.2556,507.3139,-534.7056
129.4248,507.2901,-534.4167
129.6117,507.2827,-534.1358
129.7879,507.2904,-533.8472
129.9509,507.2992,-533.5515
130.1152,507.2766,-533.2623
130.2843,507.2034,-532.9854
130.4324,507.1095,-532.7030
130.5357,507.0311,-532.3972
130.6122,506.9888,-532.0753
130.6868,506.9929,-531.7488
130.7697,507.0185,-531.4238
130.8722,507.0233,-531.1060
131.0001,506.9909,-530.7986
131.1386,506.9488,-530.4956
131.2687,506.9394,-530.1898
131.3843,506.9754,-529.8792
131.4955,507.0154,-529.5688
131.6157,507.0056,-529.2652
131.7475,506.9389,-528.9695
131.8837,506.8642,-528.6731
132.0166,506.8231,-528.3679
132.1384,506.8098,-528.0539
132.2403,506.8082,-527.7320
132.3257,506.8113,-527.4048
132.4116,506.8149,-527.0779
132.5173,506.8157,-526.7579
132.6471,506.8142,-526.4464
132.7850,506.8180,-526.1377
132.9150,506.8365,-525.8264
133.0337,506.8672,-525.5113
133.1414,506.8938,-525.1923
133.2382,506.9040,-524.8694
133.3347,506.9107,-524.5473
133.4481,506.9387,-524.2339
133.5819,506.9933,-523.9308
133.7237,507.0509,-523.6321
133.8590,507.0707,-523.3315
133.9820,507.0308,-523.0267
134.1008,506.9676,-522.7194
134.2253,506.9259,-522.4106
134.3510,506.9144,-522.0994
134.4534,506.9225,-521.7813
134.5167,506.9408,-521.4537
134.5733,506.9510,-521.1251
134.6623,506.9346,-520.8059
134.7804,506.8976,-520.4946
134.8957,506.8666,-520.1808
134.9870,506.8596,-519.8575
135.0641,506.8681,-519.5286
135.1449,506.8804,-519.2002
135.2388,506.8941,-518.8761
135.3543,506.9109,-518.5625
135.5087,506.9343,-518.2709
135.7016,506.9634,-518.0017
135.8911,506.9860,-517.7307
136.0374,506.9912,-517.4349
136.1423,506.9894,-517.1184
136.2167,507.0062,-516.7931
136.2656,507.0526,-516.4646
136.3074,507.1084,-516.1350
136.3632,507.1469,-515.8061
136.4382,507.1620,-515.4781
136.5196,507.1697,-515.1501
136.5936,507.1873,-514.8209
136.6581,507.2189,-514.4904
136.7224,507.2600,-514.1608
136.7956,507.3078,-513.8342
136.8771,507.3547,-513.5107
136.9576,507.3728,-513.1892
137.0292,507.3332,-512.8694
137.0945,507.2497,-512.5512
137.1641,507.1633,-512.2336
137.2506,507.1099,-511.9163
137.3561,507.0983,-511.5990
137.4670,507.1092,-511.2803
137.5697,507.1263,-510.9586
137.6638,507.1425,-510.6344
137.7607,507.1436,-510.3127
137.8724,507.1111,-509.9993
137.9981,507.0473,-509.6938
138.1222,506.9790,-509.3885
138.2244,506.9356,-509.0742
138.2986,506.9263,-508.7481
138.3649,506.9329,-508.4172
138.4432,506.9382,-508.0886
138.5414,506.9378,-507.7677
138.6773,506.9278,-507.4661
138.8578,506.9061,-507.1885
139.0396,506.8810,-506.9114
139.1794,506.8610,-506.6113
139.2857,506.8466,-506.2927
139.3827,506.8389,-505.9687
139.4805,506.8398,-505.6447
139.5773,506.8501,-505.3208
139.6682,506.8741,-504.9966
139.7514,506.9099,-504.6719
139.8308,506.9320,-504.3476
139.9099,506.9123,-504.0245
139.9867,506.8605,-503.7022
140.0495,506.8219,-503.3774
140.0879,506.8297,-503.0474
140.1130,506.8679,-502.7144
140.1492,506.9047,-502.3828
140.2157,506.9220,-502.0556
140.3077,506.9198,-501.7322
140.4011,506.9038,-501.4084
140.4780,506.8744,-501.0810
140.5403,506.8373,-500.7506
140.5997,506.8071,-500.4190
140.6634,506.7956,-500.0876
140.7312,506.7979,-499.7564
140.8001,506.8004,-499.4252
140.8687,506.7947,-499.0939
140.9372,506.7827,-498.7626
141.0068,506.7724,-498.4316
141.0787,506.7709,-498.1012
141.1508,506.7802,-497.7714
141.2122,506.8031,-497.4416
141.2501,506.8460,-497.1113
141.2690,506.9053,-496.7808
141.2925,506.9655,-496.4508
141.3413,507.0142,-496.1226
141.4138,507.0494,-495.7960
141.4963,507.0693,-495.4698
141.5813,507.0690,-495.1436
141.6656,507.0580,-494.8170
141.7435,507.0613,-494.4902
141.8105,507.0951,-494.1628
141.8710,507.1459,-493.8350
141.9306,507.1925,-493.5062
141.9913,507.2247,-493.1759
142.0545,507.2474,-492.8450
142.1261,507.2690,-492.5160
142.2118,507.2931,-492.1907
142.3066,507.3171,-491.8677
142.4020,507.3317,-491.5446
142.4935,507.3304,-491.2199
142.5809,507.3220,-490.8940
142.6590,507.3244,-490.5665
142.7228,507.3474,-490.2370
142.7793,507.3794,-489.9063
142.8396,507.3983,-489.5760
142.9088,507.3918,-489.2468
142.9820,507.3725,-488.9181
143.0497,507.3616,-488.5883
143.1062,507.3704,-488.2566
143.1563,507.3895,-487.9238
143.2090,507.4000,-487.5916
143.2695,507.3889,-487.2609
143.3356,507.3617,-486.9313
143.4004,507.3322,-486.6012
143.4595,507.3081,-486.2697
143.5174,507.2869,-485.9382
143.5885,507.2603,-485.6113
143.6880,507.2203,-485.2943
143.8103,507.1697,-484.9853
143.9295,507.1214,-484.6749
144.0246,507.0859,-484.3555
144.0987,507.0620,-484.0282
144.1656,507.0453,-483.6983
144.2356,507.0429,-483.3695
144.3132,507.0634,-483.0433
144.3963,507.0946,-482.7194
144.4817,507.1046,-482.3970
144.5685,507.0713,-482.0764
144.6549,507.0124,-481.7567
144.7364,506.9599,-481.4349
144.8082,506.9331,-481.1084
144.8709,506.9325,-480.7796
144.9238,506.9668,-480.4554
144.9621,507.0569,-480.1431
144.9877,507.1954,-479.8419
145.0090,507.3506,-479.5445
145.0343,507.4896,-479.2437
145.0721,507.5786,-478.9320
145.1250,507.6081,-478.6082
145.1900,507.6063,-478.2794
145.2708,507.5961,-477.9531
145.3721,507.5815,-477.6324
145.4878,507.5584,-477.3168
145.6121,507.5202,-477.0058
145.7409,507.4688,-476.6983
145.8623,507.4167,-476.3891
145.9586,507.3774,-476.0717
146.0242,507.3548,-475.7442
146.0750,507.3420,-475.4116
146.1275,507.3358,-475.0788
146.1885,507.3377,-474.7474
146.2560,507.3425,-474.4173
146.3278,507.3364,-474.0887
146.4040,507.3082,-473.7623
146.4827,507.2649,-473.4375
146.5579,507.2231,-473.1120
146.6215,507.1986,-472.7834
146.6716,507.1956,-472.4513
146.7191,507.2007,-472.1181
146.7775,507.1993,-471.7867
146.8476,507.1886,-471.4578
146.9107,507.1769,-471.1299
146.9333,507.1765,-470.8018
146.9016,507.1921,-470.4733
146.8535,507.2132,-470.1440
146.8359,507.2271,-469.8130
146.8602,507.2280,-469.4810
146.9055,507.2068,-469.1523
146.9541,507.1386,-468.8350
147.0018,507.0173,-468.5322
147.0497,506.8966,-468.2339
147.0999,506.8480,-467.9286
147.1530,506.8882,-467.6143
147.2088,506.9678,-467.2960
147.2707,507.0268,-466.9782
147.3448,507.0219,-466.6636
147.4308,506.9537,-466.3527
147.5207,506.8619,-466.0421
147.6057,506.7862,-465.7263
147.6814,506.7438,-465.4021
147.7518,506.7217,-465.0730
147.8210,506.7078,-464.7429
147.8897,506.7119,-464.4136
147.9579,506.7445,-464.0858
148.0249,506.7902,-463.7585
148.0875,506.8205,-463.4301
148.1425,506.8175,-463.0994
148.1924,506.7929,-462.7672
148.2418,506.7718,-462.4346
148.2931,506.7716,-462.1021
148.3458,506.7929,-461.7700
148.3951,506.8310,-461.4390
148.4341,506.8905,-461.1106
148.4615,506.9684,-460.7848
148.4863,507.0319,-460.4581
148.5165,507.0513,-460.1270
148.5514,507.0395,-459.7930
148.5884,507.0245,-459.4582
148.6275,507.0253,-459.1236
148.6688,507.0463,-458.7896
148.7116,507.0765,-458.4557
148.7555,507.1043,-458.1217
148.8010,507.1263,-457.7874
148.8488,507.1439,-457.4532
148.9049,507.1555,-457.1204
148.9741,507.1584,-456.7897
149.0508,507.1583,-456.4604
149.1260,507.1679,-456.1314
149.1954,507.1963,-455.8023
149.2603,507.2352,-455.4732
149.3200,507.2640,-455.1442
149.3686,507.2567,-454.8157
149.4036,507.2045,-454.4879
149.4324,507.1323,-454.1602
149.4644,507.0728,-453.8309
149.5043,507.0437,-453.4986
149.5472,507.0331,-453.1646
149.5791,507.0173,-452.8309
149.5855,506.9794,-452.4987
149.5685,506.9211,-452.1683
149.5434,506.8578,-451.8383
149.5263,506.8111,-451.5074
149.5285,506.7998,-451.1746
149.5475,506.8153,-450.8410
149.5713,506.8197,-450.5107
149.5910,506.7692,-450.1903
149.6049,506.6548,-449.8815
149.6165,506.5127,-449.5785
149.6323,506.3923,-449.2757
149.6624,506.3502,-448.9701
149.7110,506.4087,-448.6621
149.7701,506.5198,-448.3527
149.8329,506.6327,-448.0404
149.8988,506.7286,-447.7232
149.9662,506.8092,-447.4020
150.0314,506.8770,-447.0782
150.0877,506.9211,-446.7504
150.1334,506.9345,-446.4180
150.1793,506.9267,-446.0848
150.2411,506.9031,-445.7553
150.3229,506.8655,-445.4310
150.4089,506.8288,-445.1087
150.4747,506.8203,-444.7839
150.5083,506.8547,-444.4553
150.5226,506.9118,-444.1243
150.5298,506.9626,-443.7920
150.5298,506.9891,-443.4576
150.5237,506.9920,-443.1215
150.5178,506.9875,-442.7847
150.5209,506.9908,-442.4481
150.5365,507.0067,-442.1120
150.5593,507.0266,-441.7765
150.5850,507.0323,-441.4423
150.6139,507.0049,-441.1110
150.6461,506.9462,-440.7825
150.6823,506.8797,-440.4545
150.7249,506.8275,-440.1252
