X_mm,Y_mm,Z_mm
75.1557,515.5989,-613.4985
75.3830,515.5646,-613.2910
75.5994,515.5485,-613.0522
75.8073,515.5347,-612.8017
76.0034,515.5356,-612.5420
76.2057,515.5310,-612.2857
76.4313,515.5034,-612.0512
76.6838,515.4693,-611.8555
76.9542,515.4493,-611.6970
77.2071,515.4431,-611.5222
77.4242,515.4329,-611.2955
77.6253,515.3908,-611.0488
77.8171,515.2975,-610.8093
78.0049,515.1799,-610.5740
78.2109,515.0864,-610.3407
78.4443,515.0214,-610.1247
78.7011,514.9723,-609.9343
78.9520,514.9293,-609.7357
79.1688,514.8913,-609.5021
79.3642,514.8446,-609.2556
79.5791,514.7730,-609.0386
79.8242,514.7126,-608.8484
80.0726,514.6900,-608.6472
80.2953,514.6801,-608.4095
80.4903,514.6611,-608.1433
80.6707,514.6272,-607.8667
80.8529,514.5843,-607.5936
81.0508,514.5494,-607.3351
81.2719,514.5245,-607.0992
81.5026,514.5118,-606.8729
81.7265,514.5299,-606.6373
81.9531,514.5669,-606.4006
82.1838,514.5944,-606.1654
82.3992,514.5990,-605.9171
82.5821,514.5799,-605.6463
82.7393,514.5394,-605.3604
82.9027,514.4885,-605.0804
83.0893,514.4471,-604.8145
83.2798,514.4159,-604.5484
83.4584,514.3757,-604.2756
83.6428,514.3336,-604.0102
83.8551,514.3171,-603.7644
84.0804,514.3189,-603.5250
84.3057,514.3101,-603.2875
84.5460,514.2751,-603.0706
84.7997,514.2255,-602.8686
85.0451,514.1838,-602.6532
85.2731,514.1524,-602.4153
85.4889,514.1219,-602.1640
85.6975,514.1001,-601.9064
85.9029,514.0990,-601.6462
86.1177,514.1065,-601.3949
86.3531,514.1042,-601.1625
86.5987,514.0967,-600.9387
86.8389,514.0944,-600.7083
87.0669,514.0933,-600.4667
87.2725,514.0823,-600.2103
87.4420,514.0526,-599.9353
87.5923,514.0099,-599.6511
87.7651,513.9668,-599.3784
87.9571,513.9097,-599.1185
88.1491,513.8327,-598.8624
88.3449,513.7697,-598.6054
88.5489,513.7480,-598.3488
88.7573,513.7641,-598.0936
88.9671,513.7815,-597.8394
89.1876,513.7675,-597.5976
89.4256,513.7183,-597.3783
89.6509,513.6463,-597.1550
89.8326,513.5605,-596.8983
89.9880,513.4717,-596.6198
90.1487,513.3976,-596.3400
90.3304,513.3509,-596.0677
90.5337,513.3231,-595.8068
90.7542,513.3013,-595.5587
90.9799,513.2789,-595.3147
91.2002,513.2544,-595.0662
91.4189,513.2384,-594.8160
91.6397,513.2370,-594.5679
91.8514,513.2304,-594.3140
92.0425,513.1979,-594.0465
92.2232,513.1480,-593.7717
92.4079,513.0965,-593.4993
92.6021,513.0564,-593.2327
92.8080,513.0348,-592.9731
93.0226,513.0171,-592.7200
93.2405,512.9868,-592.4706
93.4571,512.9521,-592.2201
93.6721,512.9298,-591.9673
93.8861,512.9287,-591.7134
94.0898,512.9470,-591.4532
94.2699,512.9780,-591.1787
94.4342,513.0106,-590.8939
94.6096,513.0290,-590.6155
94.8133,513.0237,-590.3579
95.0458,512.9941,-590.1272
95.2963,512.9489,-589.9154
95.5450,512.9039,-589.7012
95.7767,512.8710,-589.4676
95.9937,512.8464,-589.2173
96.2058,512.8192,-588.9617
96.4158,512.7821,-588.7058
96.6200,512.7306,-588.4483
96.8116,512.6609,-588.1867
96.9834,512.5721,-587.9191
97.1421,512.4799,-587.6484
97.3154,512.4219,-587.3851
97.5204,512.4054,-587.1376
97.7458,512.3803,-586.9051
97.9723,512.3135,-586.6785
98.1812,512.2190,-586.4417
98.3646,512.1152,-586.1862
98.5308,512.0110,-585.9172
98.6891,511.9105,-585.6416
98.8478,511.8185,-585.3638
99.0142,511.7417,-585.0863
99.1881,511.6798,-584.8092
99.3624,511.6233,-584.5307
99.5334,511.5659,-584.2501
99.7055,511.5081,-583.9705
99.8846,511.4531,-583.6948
100.0707,511.4080,-583.4228
100.2621,511.3826,-583.1527
100.4578,511.3723,-582.8849
100.6569,511.3470,-582.6238
100.8605,511.2867,-582.3749
101.0734,511.2307,-582.1409
101.3020,511.2359,-581.9244
101.5434,511.3016,-581.7207
101.7834,511.3744,-581.5124
102.0092,511.4075,-581.2828
102.2224,511.3963,-581.0339
102.4350,511.3612,-580.7812
102.6530,511.3174,-580.5330
102.8708,511.2728,-580.2846
103.0826,511.2318,-580.0304
103.2900,511.1945,-579.7719
103.4971,511.1599,-579.5126
103.7050,511.1269,-579.2538
103.9133,511.0934,-578.9954
104.1199,511.0594,-578.7360
104.3175,511.0316,-578.4699
104.5003,511.0151,-578.1926
104.6771,511.0017,-577.9106
104.8585,510.9812,-577.6320
105.0449,510.9534,-577.3569
105.2320,510.9241,-577.0825
105.4204,510.9005,-576.8088
105.6148,510.8902,-576.5391
105.8154,510.8926,-576.2735
106.0152,510.8955,-576.0070
106.2075,510.8870,-575.7360
106.3859,510.8536,-575.4604
106.5451,510.7833,-575.1804
106.6921,510.6899,-574.8975
106.8386,510.5974,-574.6135
106.9921,510.5218,-574.3288
107.1580,510.4670,-574.0478
107.3514,510.4358,-573.7867
107.5850,510.4319,-573.5585
107.8374,510.4428,-573.3451
108.0765,510.4528,-573.1179
108.2893,510.4540,-572.8657
108.4850,510.4348,-572.6011
108.6724,510.3775,-572.3382
108.8551,510.2879,-572.0789
109.0386,510.2068,-571.8178
109.2272,510.1628,-571.5509
109.4209,510.1344,-571.2833
109.6201,510.0886,-571.0230
109.8240,510.0196,-570.7706
110.0269,509.9503,-570.5170
110.2241,509.8997,-570.2544
110.4163,509.8579,-569.9861
110.6050,509.8042,-569.7176
110.7902,509.7317,-569.4509
110.9717,509.6512,-569.1833
111.1472,509.5769,-568.9102
111.3151,509.5153,-568.6294
111.4792,509.4697,-568.3436
111.6447,509.4434,-568.0564
111.8183,509.4307,-567.7734
112.0091,509.4217,-567.5020
112.2123,509.4096,-567.2405
112.3990,509.3842,-566.9717
112.5458,509.3376,-566.6820
112.6702,509.2819,-566.3800
112.8023,509.2420,-566.0807
112.9574,509.2344,-565.7911
113.1245,509.2431,-565.5064
113.2820,509.2368,-565.2166
113.4225,509.2052,-564.9188
113.5601,509.1661,-564.6198
113.7157,509.1442,-564.3305
113.8984,509.1483,-564.0557
114.0999,509.1625,-563.7920
114.3145,509.1672,-563.5386
114.5400,509.1562,-563.2948
114.7638,509.1324,-563.0510
114.9678,509.0949,-562.7941
115.1477,509.0440,-562.5208
115.3188,508.9898,-562.2403
115.4930,508.9400,-561.9604
115.6698,508.8936,-561.6814
115.8466,508.8479,-561.4021
116.0229,508.8025,-561.1226
116.2013,508.7583,-560.8442
116.3850,508.7169,-560.5691
116.5741,508.6786,-560.2970
116.7636,508.6425,-560.0249
116.9491,508.6086,-559.7498
117.1294,508.5769,-559.4711
117.3032,508.5482,-559.1880
117.4678,508.5231,-558.8993
117.6225,508.4990,-558.6052
117.7643,508.4715,-558.3053
117.8935,508.4397,-558.0000
118.0214,508.4077,-557.6941
118.1612,508.3809,-557.3934
118.3151,508.3592,-557.0989
118.4761,508.3362,-556.8079
118.6391,508.3057,-556.5186
118.8019,508.2704,-556.2299
118.9603,508.2419,-555.9387
119.1100,508.2310,-555.6424
119.2549,508.2329,-555.3430
119.4079,508.2285,-555.0486
119.5771,508.2056,-554.7641
119.7496,508.1757,-554.4816
119.9093,508.1535,-554.1911
120.0556,508.1383,-553.8927
120.1978,508.1163,-553.5925
120.3409,508.0793,-553.2943
120.4820,508.0428,-552.9956
120.6170,508.0252,-552.6929
120.7497,508.0230,-552.3882
120.8955,508.0153,-552.0913
121.0663,507.9881,-551.8095
121.2504,507.9513,-551.5355
121.4272,507.9255,-551.2563
121.5871,507.9214,-550.9657
121.7384,507.9320,-550.6692
121.8924,507.9506,-550.3741
122.0521,507.9751,-550.0826
122.2132,507.9968,-549.7916
122.3714,508.0084,-549.4984
122.5271,508.0131,-549.2035
122.6818,508.0159,-548.9080
122.8364,508.0145,-548.6127
122.9920,508.0002,-548.3188
123.1487,507.9714,-548.0267
123.3054,507.9460,-547.7346
123.4608,507.9401,-547.4412
123.6157,507.9397,-547.1481
123.7724,507.9150,-546.8592
123.9312,507.8553,-546.5754
124.0891,507.7830,-546.2927
124.2388,507.7324,-546.0035
124.3751,507.7215,-545.7034
124.5030,507.7344,-545.3966
124.6262,507.7527,-545.0873
124.7444,507.7705,-544.7761
124.8610,507.7799,-544.4648
124.9819,507.7685,-544.1561
125.1090,507.7329,-543.8512
125.2398,507.6809,-543.5493
125.3722,507.6157,-543.2508
125.5070,507.5408,-542.9555
125.6473,507.4710,-542.6620
125.7965,507.4191,-542.3694
125.9511,507.3815,-542.0766
126.1037,507.3530,-541.7816
126.2502,507.3330,-541.4828
126.3905,507.3178,-541.1808
126.5194,507.3037,-540.8742
126.6307,507.2896,-540.5607
126.7322,507.2752,-540.2435
126.8363,507.2595,-539.9271
126.9492,507.2417,-539.6140
127.0692,507.2271,-539.3040
127.1931,507.2343,-538.9978
127.3201,507.2785,-538.6966
127.4472,507.3387,-538.3968
127.5703,507.3803,-538.0930
127.6888,507.3928,-537.7838
127.8101,507.3935,-537.4740
127.9421,507.3989,-537.1685
128.0830,507.4098,-536.8669
128.2218,507.4172,-536.5642
128.3513,507.4155,-536.2572
128.4733,507.4107,-535.9472
128.5863,507.4170,-535.6346
128.6862,507.4436,-535.3187
128.7792,507.4817,-535.0010
128.8749,507.5170,-534.6837
128.9790,507.5418,-534.3683
129.0907,507.5544,-534.0553
129.2111,507.5441,-533.7480
129.3438,507.4966,-533.4503
129.4848,507.4237,-533.1593
129.6253,507.3537,-532.8672
129.7583,507.3100,-532.5681
129.8829,507.2958,-532.2613
130.0036,507.3020,-531.9514
130.1235,507.3267,-531.6422
130.2432,507.3687,-531.3343
130.3629,507.4174,-531.0270
130.4829,507.4594,-530.7193
130.6033,507.4843,-530.4102
130.7246,507.4923,-530.1002
130.8484,507.4872,-529.7912
130.9778,507.4659,-529.4857
131.1138,507.4272,-529.1843
131.2535,507.3788,-528.8855
131.3950,507.3248,-528.5884
131.5332,507.2652,-528.2915
131.6548,507.2033,-527.9890
131.7526,507.1422,-527.6775
131.8376,507.0843,-527.3607
131.9219,507.0379,-527.0422
132.0102,507.0125,-526.7228
132.1010,507.0035,-526.4024
132.1900,507.0037,-526.0812
132.2742,507.0119,-525.7586
132.3552,507.0262,-525.4355
132.4386,507.0468,-525.1134
132.5294,507.0772,-524.7945
132.6282,507.1168,-524.4786
132.7338,507.1596,-524.1654
132.8507,507.2000,-523.8562
132.9819,507.2362,-523.5522
133.1203,507.2706,-523.2508
133.2574,507.3069,-522.9489
133.3892,507.3472,-522.6452
133.5157,507.3877,-522.3397
133.6323,507.4166,-522.0306
133.7314,507.4215,-521.7151
133.8161,507.4060,-521.3944
133.8994,507.3851,-521.0726
133.9928,507.3703,-520.7535
134.0979,507.3641,-520.4375
134.2075,507.3648,-520.1225
134.3145,507.3724,-519.8069
134.4183,507.3853,-519.4903
134.5231,507.3943,-519.1748
134.6361,507.3830,-518.8637
134.7604,507.3442,-518.5587
134.8895,507.2928,-518.2562
135.0144,507.2487,-517.9509
135.1309,507.2206,-517.6403
135.2418,507.2027,-517.3264
135.3490,507.1897,-517.0108
135.4524,507.1807,-516.6938
135.5531,507.1730,-516.3759
135.6517,507.1638,-516.0573
135.7488,507.1517,-515.7385
135.8475,507.1328,-515.4213
135.9539,507.0942,-515.1099
136.0714,507.0281,-514.8070
136.1934,506.9496,-514.5079
136.3074,506.8850,-514.2050
136.4028,506.8550,-513.8924
136.4824,506.8550,-513.5713
136.5598,506.8635,-513.2479
136.6470,506.8638,-512.9269
136.7445,506.8540,-512.6089
