FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
19,1769589508758,0.211114,104.7435,537.2529,-392.0144,0.505974,0.50172,-0.477888,0.513702,1.21639,1.206164,-1.148869,-0.392957,-0.292729,0.265048,2.691492,-1.411922,-0.096816,104.728057,537.239600,-392.018943,0.505957,0.501726,-0.477878,0.513723
20,1769589508769,0.222226,104.7223,537.1854,-392.019,0.50596,0.501719,-0.477875,0.513729,1.216341,1.206146,-1.148826,-0.392966,-0.292721,0.265029,2.691525,-1.411931,-0.096837,104.734095,537.232300,-392.032500,0.505957,0.501728,-0.477879,0.513721
21,1769589508780,0.233337,104.7405,537.2471,-392.0338,0.505945,0.501745,-0.477872,0.513721,1.216311,1.206213,-1.148822,-0.392965,-0.292726,0.265038,2.691477,-1.411928,-0.096798,104.731319,537.230652,-392.062838,0.505962,0.501725,-0.477886,0.513711
22,1769589508791,0.244448,104.7019,537.2573,-392.1677,0.505952,0.501726,-0.47789,0.513718,1.216328,1.206168,-1.148866,-0.392969,-0.292727,0.265037,2.691493,-1.411923,-0.096797,104.721671,537.230748,-392.103786,0.505961,0.501727,-0.477888,0.513709
23,1769589508802,0.255559,104.7421,537.2133,-392.0928,0.505997,0.501716,-0.477908,0.513666,1.216464,1.206171,-1.148934,-0.392966,-0.292728,0.265054,2.691478,-1.411898,-0.0969,104.719910,537.221843,-392.111676,0.505959,0.501741,-0.477884,0.513700
24,1769589508813,0.26667,104.7099,537.2056,-392.1314,0.505947,0.501761,-0.477862,0.513713,1.21632,1.206255,-1.148802,-0.392957,-0.29273,0.26506,2.691461,-1.411899,-0.096835,104.721119,537.206667,-392.126067,0.505958,0.501759,-0.477872,0.513695
25,1769589508824,0.277782,104.7317,537.1925,-392.0882,0.505948,0.501794,-0.477849,0.513692,1.216333,1.206347,-1.148782,-0.392971,-0.292729,0.265054,2.691444,-1.411925,-0.096825,104.724400,537.226652,-392.144448,0.505979,0.501767,-0.477857,0.513680
26,1769589508835,0.288893,104.7597,537.2799,-392.2135,0.505993,0.501771,-0.477859,0.513661,1.216458,1.206306,-1.148821,-0.392958,-0.292728,0.265018,2.691507,-1.411947,-0.096714,104.755795,537.264700,-392.174081,0.505992,0.501769,-0.477862,0.513660
27,1769589508847,0.300004,104.7862,537.3257,-392.2172,0.506061,0.501725,-0.477878,0.513622,1.21664,1.206217,-1.148884,-0.392966,-0.29274,0.265089,2.691425,-1.411814,-0.096948,104.848171,537.297171,-392.170100,0.506013,0.501752,-0.477884,0.513637
28,1769589508858,0.311116,104.9541,537.3016,-392.124,0.50599,0.501755,-0.477926,0.513619,1.216472,1.206289,-1.149001,-0.392959,-0.292735,0.265068,2.691464,-1.411843,-0.096864,104.913886,537.318210,-392.174748,0.506011,0.501737,-0.477909,0.513630
29,1769589508869,0.322227,105.0307,537.3024,-392.1259,0.505991,0.501736,-0.477907,0.513653,1.216456,1.206227,-1.14894,-0.392967,-0.292722,0.265056,2.691435,-1.411956,-0.096802,104.969833,537.305462,-392.146305,0.506011,0.501744,-0.477907,0.513626
30,1769589508880,0.333338,104.921,537.3009,-392.1764,0.505988,0.501752,-0.477919,0.513629,1.216463,1.206279,-1.14898,-0.392959,-0.292742,0.265071,2.691432,-1.411827,-0.096846,105.003562,537.291114,-392.122895,0.505982,0.501759,-0.477917,0.513630
31,1769589508891,0.34445,104.9836,537.2774,-392.1251,0.50603,0.501771,-0.477867,0.513617,1.21657,1.206329,-1.148862,-0.392967,-0.292739,0.265089,2.691391,-1.411847,-0.096905,104.953876,537.285805,-392.142400,0.505991,0.501753,-0.477904,0.513639
32,1769589508902,0.355561,104.9445,537.2833,-392.1056,0.505927,0.501759,-0.477947,0.513657,1.2163,1.206279,-1.149034,-0.392952,-0.292745,0.265053,2.691456,-1.411828,-0.096711,104.897681,537.290914,-392.145671,0.505991,0.501760,-0.477884,0.513650
33,1769589508913,0.366672,104.7907,537.2875,-392.2072,0.506024,0.501731,-0.477842,0.513686,1.216519,1.206196,-1.148765,-0.392949,-0.292746,0.265082,2.691383,-1.411833,-0.096751,104.847914,537.284400,-392.162190,0.505981,0.501755,-0.477867,0.513681
34,1769589508924,0.377783,104.8014,537.3058,-392.1643,0.505981,0.501767,-0.477833,0.513701,1.216406,1.206277,-1.148738,-0.392952,-0.292743,0.265103,2.691354,-1.411808,-0.096805,104.782676,537.282267,-392.184705,0.505980,0.501734,-0.477868,0.513701
35,1769589508935,0.388894,104.7559,537.2393,-392.2221,0.505958,0.501728,-0.477874,0.513723,1.21634,1.206171,-1.148825,-0.392947,-0.29274,0.265126,2.69134,-1.41177,-0.096878,104.766057,537.265310,-392.210048,0.505989,0.501733,-0.477850,0.513710
