,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1178,1776147901033,13.090211,-454.248,59.702,419.761,-0.168524,0.743225,-0.59431,0.256928,-0.457202,2.016357,-1.612352,-0.454248,0.059702,0.419761,0.986691,2.352406,0.034936
1179,1776147901044,13.101322,-454.237,59.748,419.752,-0.168628,0.742735,-0.594744,0.257274,-0.457404,2.014667,-1.613241,-0.454237,0.059748,0.419752,0.986841,2.35233,0.034395
1180,1776147901055,13.112434,-454.222,59.845,419.718,-0.168608,0.742212,-0.595238,0.257652,-0.45726,2.012858,-1.61427,-0.454222,0.059845,0.419718,0.987085,2.352058,0.033411
1181,1776147901066,13.123545,-454.21,59.881,419.724,-0.168769,0.741682,-0.595594,0.258248,-0.457557,2.010805,-1.61474,-0.45421,0.059881,0.419724,0.987188,2.351976,0.032818
1182,1776147901077,13.134656,-454.198,59.94,419.723,-0.168827,0.741708,-0.595503,0.258347,-0.45769,2.010773,-1.61441,-0.454198,0.05994,0.419723,0.987362,2.351915,0.032303
1183,1776147901088,13.145768,-454.177,60,419.715,-0.168694,0.742361,-0.595149,0.257372,-0.45756,2.013552,-1.614261,-0.454177,0.06,0.419715,0.987559,2.351767,0.031345
1184,1776147901099,13.156879,-454.179,60.05,419.695,-0.16906,0.741842,-0.595371,0.258114,-0.458378,2.011378,-1.614245,-0.454179,0.06005,0.419695,0.987658,2.35162,0.030815
1185,1776147901110,13.16799,-454.154,60.131,419.672,-0.168809,0.741161,-0.596163,0.258406,-0.457629,2.009229,-1.616151,-0.454154,0.060131,0.419672,0.987906,2.351399,0.029804
1186,1776147901122,13.179101,-454.157,60.17,419.64,-0.168919,0.740717,-0.59655,0.258713,-0.457853,2.00771,-1.616946,-0.454157,0.06017,0.41964,0.987962,2.351191,0.029289
1187,1776147901133,13.190213,-454.14,60.23,419.66,-0.168723,0.740762,-0.596494,0.258843,-0.457292,2.007698,-1.616685,-0.45414,0.06023,0.41966,0.988192,2.351159,0.028754
1188,1776147901144,13.201324,-454.142,60.308,419.612,-0.168661,0.740772,-0.596668,0.258453,-0.457215,2.008127,-1.617482,-0.454142,0.060308,0.419612,0.988342,2.350912,0.027754
1189,1776147901155,13.212435,-454.125,60.324,419.607,-0.169341,0.740305,-0.596648,0.259389,-0.458837,2.005896,-1.61665,-0.454125,0.060324,0.419607,0.988394,2.350759,0.027241
1190,1776147901166,13.223546,-454.118,60.424,419.594,-0.169233,0.739862,-0.597184,0.259493,-0.458523,2.004589,-1.618016,-0.454118,0.060424,0.419594,0.98868,2.350623,0.026252
1191,1776147901177,13.234657,-454.11,60.455,419.58,-0.169078,0.739785,-0.597302,0.259541,-0.45809,2.004331,-1.618296,-0.45411,0.060455,0.41958,0.98882,2.350485,0.025746
1192,1776147901188,13.245769,-454.111,60.527,419.542,-0.169087,0.740326,-0.596785,0.259179,-0.458198,2.00617,-1.617196,-0.454111,0.060527,0.419542,0.988853,2.350234,0.025188
1193,1776147901199,13.25688,-454.086,60.594,419.536,-0.169237,0.739928,-0.597087,0.259525,-0.458524,2.004734,-1.617726,-0.454086,0.060594,0.419536,0.98912,2.350067,0.024212
1194,1776147901210,13.267991,-454.083,60.65,419.514,-0.169208,0.739387,-0.597628,0.259838,-0.458372,2.002947,-1.618933,-0.454083,0.06065,0.419514,0.989218,2.349868,0.023664
1195,1776147901222,13.279102,-454.086,60.676,419.473,-0.169115,0.739314,-0.59775,0.259828,-0.458123,2.00276,-1.61927,-0.454086,0.060676,0.419473,0.989274,2.349726,0.023234
1196,1776147901233,13.290214,-454.066,60.749,419.502,-0.168694,0.739688,-0.597655,0.259255,-0.457117,2.004362,-1.61949,-0.454066,0.060749,0.419502,0.989565,2.349625,0.022262
1197,1776147901244,13.301325,-454.06,60.792,419.479,-0.169239,0.739279,-0.597786,0.259761,-0.458475,2.002734,-1.619424,-0.45406,0.060792,0.419479,0.989705,2.349447,0.021743
1198,1776147901255,13.312436,-454.063,60.896,419.405,-0.169174,0.738674,-0.598351,0.260227,-0.458189,2.000616,-1.620566,-0.454063,0.060896,0.419405,0.989865,2.349062,0.020808
1199,1776147901266,13.323547,-454.059,60.913,419.4,-0.169318,0.738488,-0.598382,0.260588,-0.458493,1.999741,-1.620352,-0.454059,0.060913,0.4194,0.989912,2.348976,0.020377
1200,1776147901277,13.334659,-454.053,60.959,419.398,-0.169022,0.738861,-0.598175,0.260197,-0.457785,2.001155,-1.620116,-0.454053,0.060959,0.419398,0.990163,2.348868,0.020005
1201,1776147901288,13.34577,-454.039,61.033,419.357,-0.169457,0.738706,-0.59816,0.260388,-0.458918,2.000539,-1.619915,-0.454039,0.061033,0.419357,0.990407,2.348527,0.019128
1202,1776147901299,13.356881,-454.04,61.066,419.356,-0.169482,0.738298,-0.598521,0.260702,-0.458911,1.99911,-1.620633,-0.45404,0.061066,0.419356,0.990435,2.348448,0.018638
1203,1776147901310,13.367992,-454.021,61.135,419.352,-0.169373,0.737998,-0.598836,0.260899,-0.45857,1.998097,-1.621321,-0.454021,0.061135,0.419352,0.990726,2.348282,0.017784
1204,1776147901322,13.379103,-454.021,61.172,419.318,-0.169104,0.738095,-0.598811,0.260854,-0.457852,1.998405,-1.621293,-0.454021,0.061172,0.419318,0.990889,2.348002,0.017428
1205,1776147901333,13.390215,-454.017,61.196,419.293,-0.169302,0.738038,-0.598845,0.26081,-0.458399,1.998295,-1.62142,-0.454017,0.061196,0.419293,0.990936,2.347877,0.017035
1206,1776147901344,13.401326,-454.019,61.288,419.259,-0.169304,0.737552,-0.599297,0.261144,-0.458325,1.99664,-1.622367,-0.454019,0.061288,0.419259,0.99123,2.347591,0.016246
1207,1776147901355,13.412437,-454.005,61.307,419.281,-0.169463,0.737112,-0.599536,0.261735,-0.458616,1.994843,-1.622522,-0.454005,0.061307,0.419281,0.991375,2.347539,0.015829
1208,1776147901366,13.423548,-453.992,61.396,419.243,-0.169427,0.737165,-0.5995,0.26169,-0.458531,1.995033,-1.622461,-0.453992,0.061396,0.419243,0.991646,2.347263,0.015055
1209,1776147901377,13.43466,-453.986,61.452,419.232,-0.169325,0.737259,-0.599446,0.261617,-0.458272,1.995361,-1.622376,-0.453986,0.061452,0.419232,0.991806,2.347089,0.014604
1210,1776147901388,13.445771,-453.981,61.48,419.205,-0.169056,0.737316,-0.599438,0.261646,-0.457537,1.995486,-1.622331,-0.453981,0.06148,0.419205,0.991922,2.346946,0.014241
1211,1776147901399,13.456882,-453.978,61.548,419.183,-0.169301,0.736983,-0.599734,0.26175,-0.458175,1.994477,-1.623044,-0.453978,0.061548,0.419183,0.992226,2.346682,0.013531
1212,1776147901410,13.467993,-453.971,61.573,419.17,-0.169428,0.736715,-0.599882,0.26208,-0.458442,1.993418,-1.623172,-0.453971,0.061573,0.41917,0.992301,2.346544,0.01323
1213,1776147901422,13.479104,-453.961,61.628,419.178,-0.169176,0.736755,-0.599846,0.262214,-0.457729,1.993389,-1.622963,-0.453961,0.061628,0.419178,0.992538,2.346493,0.012882
1214,1776147901433,13.490216,-453.952,61.683,419.152,-0.169253,0.736825,-0.599757,0.262171,-0.457946,1.993622,-1.622757,-0.453952,0.061683,0.419152,0.99273,2.346235,0.012198
1215,1776147901444,13.501327,-453.943,61.719,419.148,-0.169474,0.736545,-0.599958,0.262356,-0.458501,1.992675,-1.623148,-0.453943,0.061719,0.419148,0.992866,2.346111,0.011836
1216,1776147901455,13.512438,-453.924,61.781,419.143,-0.169313,0.736253,-0.600232,0.262652,-0.457995,1.991583,-1.623641,-0.453924,0.061781,0.419143,0.993155,2.345983,0.0112
1217,1776147901466,13.523549,-453.928,61.818,419.114,-0.169152,0.736138,-0.600351,0.262806,-0.457523,1.991115,-1.623837,-0.453928,0.061818,0.419114,0.993342,2.345745,0.010921
1218,1776147901477,13.53466,-453.914,61.853,419.109,-0.169237,0.736384,-0.600144,0.262535,-0.457818,1.992057,-1.623501,-0.453914,0.061853,0.419109,0.993458,2.345653,0.010588
1219,1776147901488,13.545772,-453.91,61.941,419.079,-0.169296,0.73595,-0.600552,0.26278,-0.457919,1.990634,-1.624402,-0.45391,0.061941,0.419079,0.993697,2.345469,0.009981
1220,1776147901499,13.556883,-453.91,61.965,419.054,-0.169364,0.735826,-0.600536,0.263121,-0.458024,1.989951,-1.624074,-0.45391,0.061965,0.419054,0.993731,2.345296,0.009665
1221,1776147901510,13.567994,-453.895,62.028,419.063,-0.169102,0.735761,-0.600757,0.262966,-0.457352,1.989933,-1.624802,-0.453895,0.062028,0.419063,0.994099,2.345135,0.009116
1222,1776147901522,13.579105,-453.887,62.105,419.04,-0.169054,0.735978,-0.600591,0.26277,-0.457268,1.990719,-1.624514,-0.453887,0.062105,0.41904,0.994295,2.344971,0.008808
1223,1776147901533,13.590217,-453.881,62.126,419.034,-0.169328,0.736132,-0.600324,0.262772,-0.458008,1.991133,-1.623791,-0.453881,0.062126,0.419034,0.994384,2.344866,0.008598
1224,1776147901544,13.601328,-453.884,62.184,418.994,-0.169448,0.735586,-0.600773,0.263197,-0.458232,1.989224,-1.624652,-0.453884,0.062184,0.418994,0.994487,2.344634,0.008056
1225,1776147901555,13.612439,-453.869,62.237,418.998,-0.169179,0.735431,-0.60098,0.26333,-0.457476,1.988668,-1.625103,-0.453869,0.062237,0.418998,0.994679,2.344563,0.007755
1226,1776147901566,13.623551,-453.855,62.319,418.997,-0.169096,0.735517,-0.600908,0.263307,-0.457254,1.988925,-1.624925,-0.453855,0.062319,0.418997,0.994991,2.344361,0.007305
1227,1776147901577,13.634662,-453.85,62.373,418.98,-0.169336,0.73511,-0.601153,0.26373,-0.457805,1.987395,-1.625237,-0.45385,0.062373,0.41898,0.995169,2.344205,0.007046
1228,1776147901588,13.645773,-453.846,62.399,418.972,-0.169327,0.735338,-0.600966,0.263529,-0.457828,1.988213,-1.624897,-0.453846,0.062399,0.418972,0.995243,2.344119,0.006836
1229,1776147901599,13.656884,-453.835,62.474,418.947,-0.169209,0.735171,-0.601088,0.263789,-0.457449,1.9875,-1.625013,-0.453835,0.062474,0.418947,0.995454,2.343934,0.006396
1230,1776147901610,13.667995,-453.821,62.521,418.959,-0.169281,0.735387,-0.60083,0.263729,-0.457657,1.988144,-1.624364,-0.453821,0.062521,0.418959,0.995562,2.343873,0.006135
1231,1776147901622,13.679106,-453.825,62.558,418.916,-0.169091,0.735425,-0.600941,0.263492,-0.457198,1.988487,-1.624862,-0.453825,0.062558,0.418916,0.995656,2.343662,0.005923
1232,1776147901633,13.690218,-453.813,62.644,418.914,-0.169149,0.734744,-0.601482,0.264122,-0.457209,1.986006,-1.625799,-0.453813,0.062644,0.418914,0.995917,2.34352,0.005513
1233,1776147901644,13.701329,-453.823,62.696,418.866,-0.168998,0.734973,-0.601219,0.264177,-0.456788,1.986571,-1.625045,-0.453823,0.062696,0.418866,0.99603,2.343275,0.005332
1234,1776147901655,13.71244,-453.81,62.774,418.856,-0.168971,0.735137,-0.601195,0.263795,-0.456802,1.987402,-1.625296,-0.45381,0.062774,0.418856,0.996296,2.343094,0.005015
1235,1776147901666,13.723552,-453.805,62.826,418.835,-0.169163,0.735114,-0.601091,0.263971,-0.457282,1.98716,-1.62487,-0.453805,0.062826,0.418835,0.996446,2.342962,0.004761
1236,1776147901677,13.734663,-453.798,62.876,418.836,-0.169397,0.734631,-0.601325,0.264633,-0.457759,1.985181,-1.624952,-0.453798,0.062876,0.418836,0.996512,2.342815,0.004599
