FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
89,1769517771073,0.988899,14.9075,460.1816,-249.5204,0.701156,0.292922,-0.264683,0.593734,1.629642,0.680814,-0.615182,-0.446308,-0.180069,0.197035,2.034854,-2.362089,0.139207,-0.452453,-0.18471,0.198747,-2.116685,2.283779,-0.213637
90,1769517771085,1.000011,14.0692,459.8446,-249.2258,0.70141,0.292703,-0.264875,0.593457,1.630417,0.680384,-0.615697,-0.446286,-0.179918,0.197022,2.034844,-2.362091,0.139258,-0.451901,-0.183922,0.198379,-2.116036,2.283326,-0.213236
91,1769517771096,1.011122,14.035,459.92,-249.1153,0.701275,0.292821,-0.264967,0.593516,1.630064,0.680642,-0.615897,-0.446254,-0.179745,0.197034,2.034854,-2.362097,0.139132,-0.451968,-0.183801,0.19846,-2.116514,2.28308,-0.213034
92,1769517771107,1.022233,13.9343,459.7862,-248.9934,0.70144,0.292884,-0.264882,0.593329,1.630572,0.680839,-0.615747,-0.446185,-0.179405,0.197038,2.034814,-2.362082,0.139125,-0.451935,-0.183696,0.198336,-2.116467,2.283078,-0.213923
93,1769517771118,1.033344,13.2567,459.704,-248.7809,0.701471,0.292509,-0.264923,0.593458,1.630558,0.679931,-0.615809,-0.44615,-0.179248,0.197049,2.034775,-2.362031,0.139121,-0.451537,-0.183026,0.198221,-2.115528,2.283371,-0.212659
94,1769517771129,1.044455,13.1977,459.7993,-248.6385,0.701256,0.292505,-0.265145,0.593616,1.629951,0.679878,-0.616286,-0.446091,-0.178926,0.197054,2.034714,-2.361999,0.139037,-0.451611,-0.182808,0.198318,-2.115853,2.283007,-0.211518
95,1769517771140,1.055567,13.2581,459.7795,-248.5022,0.701431,0.292264,-0.265166,0.593518,1.630426,0.679347,-0.616358,-0.446066,-0.178733,0.197074,2.034571,-2.362065,0.138908,-0.451679,-0.182722,0.198314,-2.115108,2.283075,-0.211182
96,1769517771151,1.066678,13.2525,459.8189,-248.4101,0.701358,0.29258,-0.265041,0.593504,1.630265,0.680085,-0.616072,-0.446018,-0.178624,0.197064,2.03471,-2.361919,0.138953,-0.451774,-0.182715,0.198366,-2.115883,2.283094,-0.212304
97,1769517771162,1.077789,12.8028,459.7366,-248.2045,0.701225,0.292308,-0.265248,0.593703,1.629823,0.679396,-0.616503,-0.445955,-0.178326,0.197064,2.034748,-2.361792,0.138871,-0.451579,-0.182161,0.198263,-2.115455,2.282997,-0.210537
98,1769517771173,1.088901,12.7171,459.7884,-248.0383,0.701265,0.292385,-0.265139,0.593667,1.629939,0.679585,-0.616258,-0.445923,-0.178156,0.197068,2.034719,-2.361771,0.138868,-0.451615,-0.182018,0.198327,-2.11554,2.283148,-0.211152
99,1769517771185,1.100012,11.8095,459.475,-247.9494,0.701114,0.292468,-0.265282,0.593741,1.629538,0.679759,-0.616571,-0.445864,-0.177766,0.197036,2.034681,-2.361891,0.138795,-0.451035,-0.181335,0.197957,-2.115976,2.282829,-0.21067
100,1769517771196,1.111124,11.6972,459.436,-247.8678,0.701049,0.292664,-0.26512,0.593793,1.629352,0.6802,-0.616183,-0.445811,-0.177599,0.197012,2.03479,-2.361854,0.138807,-0.451054,-0.181249,0.197922,-2.116419,2.283068,-0.211492
101,1769517771207,1.122235,11.3317,459.3867,-247.7129,0.700971,0.292279,-0.265342,0.593976,1.629048,0.679252,-0.616651,-0.445762,-0.177423,0.197,2.034793,-2.361838,0.13882,-0.450867,-0.180774,0.197852,-2.11567,2.283015,-0.209474
102,1769517771218,1.133346,10.3831,459.119,-247.2751,0.700778,0.292559,-0.26535,0.594061,1.628542,0.67988,-0.616648,-0.445689,-0.177077,0.19698,2.034842,-2.361741,0.138784,-0.450506,-0.179847,0.197561,-2.116547,2.282844,-0.209829
103,1769517771229,1.144457,10.0858,459.0749,-247.1502,0.700989,0.292376,-0.265457,0.593855,1.629171,0.679513,-0.61695,-0.445653,-0.176896,0.196985,2.034865,-2.361687,0.138687,-0.450264,-0.17955,0.197507,-2.115971,2.282601,-0.209606
104,1769517771240,1.155569,9.8803,459.0388,-247.0383,0.701123,0.29276,-0.265167,0.593637,1.629629,0.680465,-0.61633,-0.445554,-0.176528,0.196922,2.034877,-2.361764,0.138769,-0.450177,-0.179476,0.197479,-2.116623,2.282777,-0.211936
105,1769517771251,1.16668,9.2375,458.7736,-246.8355,0.700844,0.29236,-0.265343,0.594085,1.628679,0.679411,-0.616626,-0.445502,-0.17637,0.196881,2.034955,-2.361748,0.138868,-0.449912,-0.178748,0.197176,-2.115984,2.283027,-0.209367
106,1769517771262,1.177791,8.7992,458.6791,-246.6384,0.701154,0.292122,-0.265399,0.593811,1.629585,0.678933,-0.616826,-0.445458,-0.176186,0.196879,2.034903,-2.361744,0.138868,-0.449585,-0.17832,0.197071,-2.11515,2.282889,-0.209367
107,1769517771273,1.188902,8.5567,458.6429,-246.3907,0.701155,0.292107,-0.265419,0.593808,1.629588,0.678901,-0.616873,-0.445376,-0.175823,0.196833,2.034806,-2.36184,0.138958,-0.449552,-0.177968,0.19704,-2.115123,2.282854,-0.209276
108,1769517771285,1.200014,8.2768,458.5845,-246.1913,0.701149,0.291964,-0.265371,0.593907,1.629509,0.678541,-0.616736,-0.445337,-0.175643,0.19682,2.034738,-2.36189,0.138941,-0.449479,-0.177612,0.196979,-2.114742,2.283142,-0.20888
109,1769517771296,1.211125,8.2512,458.6852,-246.15,0.701137,0.292066,-0.265309,0.593898,1.629487,0.678778,-0.616595,-0.445294,-0.175455,0.196826,2.034705,-2.361843,0.138931,-0.449488,-0.177594,0.197083,-2.114966,2.283191,-0.209324
110,1769517771307,1.222236,7.9906,458.7152,-245.8947,0.701125,0.291736,-0.26551,0.593985,1.629399,0.677989,-0.61704,-0.445184,-0.175063,0.196773,2.034699,-2.361939,0.139011,-0.449415,-0.177135,0.19711,-2.114283,2.28307,-0.207737
111,1769517771318,1.233348,7.7099,458.6657,-245.6967,0.701314,0.291777,-0.265322,0.593826,1.629947,0.678128,-0.616644,-0.445153,-0.174863,0.196784,2.034674,-2.361895,0.13893,-0.449289,-0.176874,0.197065,-2.114094,2.283332,-0.208848
