FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
19,1769790310778,0.211114,614.6461,233.1672,-433.6081,0.675694,0.134757,-0.063743,0.721952,1.492463,0.297650,-0.140795,0.148696,-0.435109,0.279743,2.992721,0.085243,0.141309,614.367662,233.252081,-433.536962,0.675793,0.134854,-0.063945,0.721824
20,1769790310789,0.222225,614.6329,233.5340,-433.8984,0.676172,0.135471,-0.063480,0.721394,1.493838,0.299290,-0.140244,0.148753,-0.435066,0.279625,2.993069,0.085418,0.141329,614.631371,233.548200,-433.810590,0.675820,0.135019,-0.064356,0.721731
21,1769790310800,0.233337,614.7905,233.8857,-434.0677,0.675846,0.134878,-0.065388,0.721641,1.492976,0.297951,-0.144446,0.148875,-0.435006,0.279775,2.992711,0.085828,0.141380,615.046271,233.815019,-434.142186,0.675606,0.135314,-0.064398,0.721872
22,1769790310811,0.244448,615.4374,234.2041,-434.3876,0.675063,0.135790,-0.064918,0.722244,1.490903,0.299897,-0.143374,0.149134,-0.434903,0.280004,2.992133,0.086753,0.141436,615.298867,234.152829,-434.360729,0.675508,0.135601,-0.064477,0.721904
23,1769790310822,0.255559,615.8623,234.1691,-434.6581,0.675234,0.135791,-0.063417,0.722217,1.491297,0.299902,-0.140061,0.149227,-0.434853,0.280027,2.992074,0.087101,0.141394,615.656776,234.283638,-434.624043,0.675610,0.135806,-0.064357,0.721780
24,1769790310833,0.266671,615.6375,234.5305,-434.7367,0.676401,0.136184,-0.064239,0.720978,1.494582,0.300913,-0.141943,0.149227,-0.434853,0.280027,2.992074,0.087101,0.141394,615.845733,234.339400,-434.810181,0.676000,0.136133,-0.064148,0.721371
25,1769790310844,0.277782,616.1107,234.2036,-435.0909,0.676299,0.136189,-0.064454,0.721053,1.494315,0.300915,-0.142413,0.149646,-0.434667,0.280074,2.991998,0.088566,0.141496,615.988938,234.367629,-434.950571,0.676078,0.136191,-0.064294,0.721275
26,1769790310855,0.288893,616.0655,234.4174,-434.9633,0.675857,0.136357,-0.064968,0.721390,1.493144,0.301249,-0.143531,0.149775,-0.434603,0.280146,2.991843,0.089027,0.141480,616.286462,234.406867,-435.112138,0.675668,0.136385,-0.064656,0.721590
27,1769790310867,0.300005,616.7339,234.4577,-435.2772,0.674537,0.136530,-0.064336,0.722648,1.489511,0.301484,-0.142066,0.150177,-0.434410,0.280364,2.991324,0.090431,0.141604,616.661657,234.386129,-435.260762,0.674971,0.136609,-0.064692,0.722196
28,1769790310878,0.311116,617.0695,234.4323,-435.4525,0.674600,0.136976,-0.064836,0.722461,1.489756,0.302491,-0.143180,0.150368,-0.434308,0.280462,2.991086,0.091090,0.141587,616.896224,234.455581,-435.360438,0.674717,0.136969,-0.064816,0.722354
29,1769790310889,0.322227,616.9534,234.4478,-435.4241,0.674764,0.137315,-0.065063,0.722223,1.490254,0.303269,-0.143695,0.150572,-0.434222,0.280575,2.990829,0.091815,0.141668,617.015571,234.492214,-435.500376,0.674744,0.137258,-0.065028,0.722255
30,1769790310900,0.333338,616.9849,234.5433,-435.5154,0.675245,0.137534,-0.065359,0.721704,1.491614,0.303813,-0.144377,0.150831,-0.434088,0.280689,2.990579,0.092708,0.141668,616.981052,234.547929,-435.494857,0.674936,0.137443,-0.065360,0.722010
31,1769790310911,0.344449,616.8597,234.6834,-435.5302,0.674824,0.137429,-0.065590,0.722097,1.490458,0.303534,-0.144867,0.150944,-0.434036,0.280751,2.990418,0.093155,0.141672,616.933700,234.659581,-435.470033,0.674854,0.137500,-0.065463,0.722067
32,1769790310922,0.355561,617.1615,234.6201,-435.3819,0.674575,0.137505,-0.065431,0.722329,1.489777,0.303675,-0.144503,0.151106,-0.433962,0.280801,2.990311,0.093689,0.141731,617.150843,234.599262,-435.430495,0.674683,0.137563,-0.065500,0.722211
33,1769790310933,0.366672,617.1980,234.6628,-435.4452,0.674515,0.137642,-0.065501,0.722354,1.489629,0.303974,-0.144654,0.151181,-0.433925,0.280830,2.990251,0.093947,0.141734,617.342924,234.546752,-435.476924,0.674593,0.137647,-0.065540,0.722276
34,1769790310944,0.377783,617.8019,234.1901,-435.4637,0.674699,0.137828,-0.065588,0.722138,1.490158,0.304410,-0.144858,0.151269,-0.433891,0.280853,2.990178,0.094255,0.141751,617.493348,234.469914,-435.540886,0.674718,0.137746,-0.065674,0.722128
35,1769790310955,0.388894,617.3813,234.5690,-435.7872,0.675010,0.137798,-0.065887,0.721826,1.491023,0.304382,-0.145538,0.151377,-0.433842,0.280890,2.990105,0.094617,0.141798,617.516386,234.380095,-435.592100,0.674860,0.137809,-0.065822,0.721970
36,1769790310967,0.400005,617.3591,234.3448,-435.5480,0.674901,0.137760,-0.066002,0.721924,1.490728,0.304285,-0.145786,0.151413,-0.433835,0.280877,2.990129,0.094742,0.141809,617.377400,234.282510,-435.590157,0.674931,0.137823,-0.065843,0.721898
37,1769790310978,0.411117,617.2856,234.1906,-435.5055,0.674875,0.137850,-0.065707,0.721958,1.490652,0.304481,-0.145133,0.151392,-0.433844,0.280870,2.990149,0.094702,0.141805,617.182319,234.322229,-435.592276,0.674851,0.137802,-0.065788,0.721983
38,1769790310989,0.422228,616.9594,234.2652,-435.6174,0.674819,0.137796,-0.065625,0.722029,1.490486,0.304353,-0.144947,0.151367,-0.433844,0.280844,2.990212,0.094607,0.141767,617.150643,234.297181,-435.613090,0.674854,0.137792,-0.065715,0.721989
39,1769790311000,0.433339,617.2388,234.5394,-435.7759,0.674791,0.137753,-0.065754,0.722051,1.490412,0.304256,-0.145230,0.151358,-0.433861,0.280825,2.990250,0.094544,0.141792,617.135248,234.458862,-435.789300,0.674973,0.137769,-0.065754,0.721878
