FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
19,1769790335567,0.211114,607.2101,233.9308,-423.8693,0.686995,0.147171,-0.078361,0.707276,1.526019,0.326910,-0.174064,0.139896,-0.439307,0.278795,3.028213,0.138977,0.138584,607.175162,233.897610,-423.907057,0.686940,0.147217,-0.078221,0.707334
20,1769790335578,0.222225,607.4634,234.1994,-423.8611,0.687156,0.147994,-0.079300,0.706842,1.526634,0.328793,-0.176178,0.140140,-0.439202,0.279062,3.029282,0.144421,0.138663,607.403219,234.205381,-423.729733,0.687150,0.148009,-0.079260,0.706849
21,1769790335589,0.233337,607.5883,234.4433,-423.5614,0.687342,0.148823,-0.080073,0.706400,1.527308,0.330691,-0.177926,0.140236,-0.439131,0.279192,3.029868,0.147056,0.138574,607.628405,234.386914,-423.605333,0.687317,0.148781,-0.080180,0.706421
22,1769790335600,0.244448,607.8242,234.5150,-423.3806,0.687321,0.149686,-0.081107,0.706120,1.527426,0.332645,-0.180243,0.140340,-0.439067,0.279277,3.030595,0.149764,0.138684,607.864152,234.432743,-423.480871,0.687610,0.149675,-0.081073,0.705845
23,1769790335611,0.255559,608.1695,234.3235,-423.4573,0.687984,0.150477,-0.081980,0.705205,1.529440,0.334523,-0.182249,0.140561,-0.438931,0.279546,3.031764,0.155390,0.138761,608.174910,234.461276,-423.396952,0.687667,0.150601,-0.081956,0.705490
24,1769790335622,0.266670,608.4844,234.5520,-423.3590,0.687918,0.151716,-0.082862,0.704901,1.529474,0.337316,-0.184230,0.140698,-0.438866,0.279658,3.032425,0.158329,0.138924,608.493700,234.558414,-423.340010,0.687737,0.151616,-0.082843,0.705101
25,1769790335633,0.277782,608.7961,234.7554,-423.2999,0.687316,0.152612,-0.083652,0.705201,1.527958,0.339268,-0.185965,0.140855,-0.438799,0.279839,3.032832,0.161451,0.138976,608.684938,234.741638,-423.290771,0.687814,0.152671,-0.083702,0.704697
26,1769790335644,0.288893,608.7957,235.0885,-423.0822,0.687985,0.153724,-0.084591,0.704194,1.530042,0.341873,-0.188125,0.141132,-0.438678,0.280175,3.033747,0.167468,0.139140,608.787210,235.069567,-423.113881,0.687729,0.153669,-0.084586,0.704457
27,1769790335656,0.300004,608.7499,235.2673,-423.0908,0.687993,0.154599,-0.085531,0.703881,1.530244,0.343862,-0.190239,0.141259,-0.438628,0.280350,3.034190,0.170466,0.139179,608.879367,235.293252,-422.989424,0.687907,0.154559,-0.085510,0.703976
28,1769790335667,0.311115,608.9897,235.6494,-422.7617,0.687918,0.155341,-0.086434,0.703681,1.530197,0.345539,-0.192263,0.141514,-0.438520,0.280717,3.035032,0.176349,0.139387,608.983876,235.547071,-422.935448,0.688195,0.155372,-0.086496,0.703396
29,1769790335678,0.322227,609.1989,235.6260,-422.9878,0.688496,0.156252,-0.087428,0.702791,1.532009,0.347685,-0.194540,0.141652,-0.438468,0.280924,3.035366,0.179328,0.139482,609.098481,235.765481,-422.943933,0.688320,0.156214,-0.087408,0.702974
30,1769790335689,0.333338,609.2556,236.0902,-423.0331,0.688460,0.157002,-0.088335,0.702546,1.532074,0.349386,-0.196577,0.141768,-0.438405,0.281095,3.035804,0.182253,0.139548,609.259200,236.016605,-422.948595,0.688402,0.157194,-0.088194,0.702577
31,1769790335700,0.344449,609.2605,236.2212,-422.9526,0.688486,0.158320,-0.088930,0.702149,1.532368,0.352373,-0.197933,0.142045,-0.438254,0.281399,3.036825,0.188063,0.139955,609.392062,236.239195,-422.976319,0.688344,0.158230,-0.088928,0.702309
32,1769790335711,0.355560,609.6179,236.5165,-422.9133,0.688245,0.159318,-0.089618,0.702072,1.531877,0.354606,-0.199469,0.142186,-0.438171,0.281559,3.037315,0.190974,0.140098,609.519495,236.494181,-422.947490,0.688544,0.159170,-0.089829,0.701786
33,1769790335722,0.366680,609.7127,236.6645,-422.8985,0.688588,0.160079,-0.090755,0.701416,1.533032,0.356391,-0.202051,0.142465,-0.438018,0.281833,3.038355,0.196661,0.140597,609.671057,236.672276,-422.918814,0.688895,0.160140,-0.090834,0.701090
34,1769790335733,0.377791,609.7933,236.8691,-422.9897,0.689906,0.160817,-0.092203,0.699762,1.536951,0.358263,-0.205407,0.142583,-0.437948,0.281942,3.038913,0.199590,0.140706,609.868367,236.877448,-422.908952,0.689272,0.160979,-0.091908,0.700388
35,1769790335744,0.388902,610.0020,237.0889,-422.8476,0.689423,0.162006,-0.092898,0.699871,1.535810,0.360897,-0.206946,0.142704,-0.437892,0.282099,3.039340,0.202483,0.140828,610.020267,237.107738,-422.908057,0.689602,0.161817,-0.092981,0.699727
36,1769790335756,0.400013,610.3201,237.2986,-422.8734,0.689521,0.162698,-0.093764,0.699499,1.536251,0.362490,-0.208905,0.142928,-0.437789,0.282435,3.040024,0.208274,0.140838,610.258214,237.287505,-422.892171,0.689628,0.162727,-0.093831,0.699378
37,1769790335767,0.411125,610.4493,237.5903,-422.8857,0.689518,0.163543,-0.094777,0.699168,1.536440,0.364420,-0.211189,0.143031,-0.437725,0.282598,3.040454,0.211190,0.140860,610.487343,237.481567,-422.865038,0.689363,0.163657,-0.094644,0.699312
38,1769790335778,0.422236,610.7595,237.5487,-422.7843,0.689351,0.164605,-0.095422,0.698996,1.536172,0.366810,-0.212642,0.143273,-0.437589,0.282969,3.041143,0.217095,0.140947,610.701886,237.758295,-422.734533,0.689428,0.164519,-0.095619,0.698913
39,1769790335789,0.433347,610.8795,238.0261,-422.6515,0.689351,0.165513,-0.096649,0.698612,1.536400,0.368889,-0.215407,0.143426,-0.437523,0.283147,3.041483,0.220168,0.141075,610.967305,237.979948,-422.561267,0.689538,0.165477,-0.096587,0.698445
40,1769790335800,0.444458,611.2232,238.3549,-422.2491,0.689873,0.166369,-0.097632,0.697757,1.538074,0.370921,-0.217672,0.143566,-0.437443,0.283338,3.041831,0.223167,0.141258,611.210443,238.194986,-422.420324,0.689701,0.166474,-0.097534,0.697916
41,1769790335811,0.455570,611.5878,238.1989,-422.4802,0.690006,0.167435,-0.098454,0.697255,1.538670,0.373369,-0.219546,0.143808,-0.437312,0.283674,3.042596,0.228998,0.141514,611.485367,238.257895,-422.554262,0.689975,0.167412,-0.098522,0.697282
42,1769790335822,0.466681,611.6052,238.3979,-422.6626,0.690017,0.168478,-0.099354,0.696865,1.538929,0.375752,-0.221588,0.143932,-0.437234,0.283815,3.043033,0.231916,0.141688,611.745262,238.325629,-422.677581,0.690149,0.168367,-0.099378,0.696757
43,1769790335833,0.477792,612.0712,238.1994,-423.1382,0.690303,0.169239,-0.100306,0.696261,1.539926,0.377538,-0.223762,0.144070,-0.437159,0.283956,3.043486,0.234935,0.141866,611.969024,238.498576,-422.778005,0.690103,0.169348,-0.100206,0.696447
44,1769790335844,0.488903,612.1127,239.0362,-422.4963,0.690086,0.170265,-0.101076,0.696114,1.539530,0.379849,-0.225492,0.144351,-0.437012,0.284323,3.044084,0.240828,0.142228,612.181019,238.843962,-422.717910,0.690184,0.170286,-0.101157,0.696000
45,1769790335856,0.500014,612.3943,239.2290,-422.5263,0.690005,0.171280,-0.101958,0.695816,1.539529,0.382157,-0.227487,0.144485,-0.436949,0.284526,3.044326,0.243751,0.142373,612.354986,239.210305,-422.593367,0.690139,0.171181,-0.102066,0.695692
46,1769790335867,0.511126,612.4781,239.5521,-422.5520,0.690429,0.172117,-0.103186,0.695009,1.540958,0.384146,-0.230299,0.144778,-0.436773,0.284828,3.045086,0.249653,0.142870,612.411971,239.558748,-422.488395,0.690139,0.172116,-0.102966,0.695329
47,1769790335878,0.522237,612.4274,239.7764,-422.5342,0.689956,0.172940,-0.103769,0.695186,1.539797,0.385957,-0.231583,0.144887,-0.436694,0.284988,3.045467,0.252496,0.143049,612.510114,239.752210,-422.556562,0.690267,0.173058,-0.103878,0.694832
48,1769790335889,0.533348,612.5678,239.9240,-422.6026,0.690473,0.174013,-0.104701,0.694265,1.541503,0.388490,-0.233747,0.145017,-0.436631,0.285168,3.045743,0.255368,0.143217,612.591643,239.999324,-422.563048,0.690351,0.173989,-0.104714,0.694391
49,1769790335900,0.544460,612.7623,240.3226,-422.4955,0.690459,0.175032,-0.105552,0.693894,1.541694,0.390820,-0.235682,0.145223,-0.436482,0.285466,3.046498,0.260968,0.143510,612.698957,240.300529,-422.486714,0.690366,0.174914,-0.105536,0.694019
50,1769790335911,0.555571,612.8996,240.5387,-422.5260,0.690362,0.175779,-0.106319,0.693685,1.541604,0.392520,-0.237414,0.145326,-0.436405,0.285629,3.046824,0.263717,0.143525,612.907676,240.573124,-422.491676,0.690446,0.175824,-0.106343,0.693586
51,1769790335922,0.566682,613.0164,240.9453,-422.3769,0.690398,0.176645,-0.107215,0.693291,1.541920,0.394516,-0.239451,0.145591,-0.436248,0.286018,3.047289,0.269497,0.143831,613.148033,240.762438,-422.583429,0.690351,0.176732,-0.107052,0.693340
52,1769790335933,0.577793,613.4188,240.8921,-422.8242,0.690371,0.177656,-0.107657,0.692991,1.542040,0.396820,-0.240466,0.145693,-0.436172,0.286177,3.047615,0.272181,0.143932,613.295895,241.026605,-422.717324,0.690390,0.177647,-0.107807,0.692951
53,1769790335944,0.588904,613.5066,241.1191,-422.9016,0.690465,0.178671,-0.108584,0.692491,1.542550,0.399164,-0.242586,0.145834,-0.436102,0.286356,3.047794,0.275008,0.144155,613.337243,241.346214,-422.825062,0.690598,0.178546,-0.108704,0.692372
54,1769790335956,0.600016,613.2938,241.8339,-422.7368,0.690814,0.179416,-0.109636,0.691784,1.543756,0.400940,-0.245003,0.146096,-0.435970,0.286713,3.048133,0.280628,0.144484,613.476571,241.542410,-422.767500,0.690772,0.179471,-0.109543,0.691827
