# CSV Trajectory Visual Servo TCP Capture Result
# Generated: 2026-01-31 02:31:39
# Input File: C:\Users\15421\Desktop\lighthouse_1.12\Assets\StreamingAssets\TrackerRecordings\tcp_arc.csv
# Total Frames: 50, Converged: 50, Success Rate: 100.0%
# First Frame: Slow MoveJ (a=0.5, v=0.3, wait=3s)
# Normal Frame: MoveJ (a=1, v=0.8, wait=2s)
# Visual Servo: Enabled (MaxIter=1000, PosThresh=1.0mm, RotThresh=5.7deg)
# Target Offset: Enabled (135mm along Z)
#
FrameIndex,Target_X_mm,Target_Y_mm,Target_Z_mm,Target_QX,Target_QY,Target_QZ,Target_QW,Movej_TCP_X_m,Movej_TCP_Y_m,Movej_TCP_Z_m,Movej_TCP_RX_rad,Movej_TCP_RY_rad,Movej_TCP_RZ_rad,Servo_TCP_X_m,Servo_TCP_Y_m,Servo_TCP_Z_m,Servo_TCP_RX_rad,Servo_TCP_RY_rad,Servo_TCP_RZ_rad,Converged,Iterations,RetryCount,TCP_Pos_Diff_mm,TCP_Rot_Diff_deg,Time_s,Error
22,264.334,252.634,-466.425,0.631123,-0.172598,0.205382,0.727814,-0.215726,-0.398678,0.312185,2.876788,-0.872300,0.052439,-0.219201,-0.401587,0.294575,2.719692,-1.091506,0.013304,True,219,0,18.183,10.969,5.03,
23,273.800,268.018,-474.023,0.618282,-0.176874,0.198246,0.739690,-0.209294,-0.395410,0.328244,2.845429,-0.856715,0.026463,-0.214775,-0.399599,0.310565,2.684685,-1.073918,-0.010611,True,268,0,18.978,11.130,5.64,
24,283.520,284.227,-483.308,0.606031,-0.181368,0.189378,0.750978,-0.202748,-0.390068,0.345195,2.816442,-0.839486,-0.002728,-0.198387,-0.392985,0.336941,2.653953,-1.049985,-0.026946,True,217,0,9.781,11.067,4.97,
25,293.592,298.851,-491.899,0.592866,-0.185809,0.181920,0.762162,-0.195630,-0.385789,0.360797,2.784980,-0.824541,-0.028404,-0.194065,-0.388348,0.347273,2.629654,-1.036512,-0.042264,True,207,0,13.852,10.912,4.96,
26,299.924,309.102,-498.821,0.585227,-0.189399,0.175544,0.768649,-0.191522,-0.381190,0.371676,2.767227,-0.814045,-0.049395,-0.198138,-0.385833,0.354592,2.607118,-1.020184,-0.071860,True,261,0,18.900,11.008,5.53,
27,301.966,310.682,-500.245,0.584585,-0.190506,0.173596,0.769306,-0.190034,-0.379876,0.373444,2.765745,-0.811843,-0.055878,-0.192258,-0.383751,0.361325,2.598472,-1.018909,-0.079570,True,209,0,12.917,11.304,4.98,
28,303.933,310.510,-499.043,0.583036,-0.189654,0.171332,0.771198,-0.188444,-0.381753,0.373462,2.762826,-0.804402,-0.058873,-0.183802,-0.377766,0.362613,2.665197,-0.957522,-0.066304,True,63,0,12.456,7.460,3.21,
29,322.704,310.857,-491.404,0.586659,-0.170007,0.156712,0.776125,-0.168344,-0.391066,0.373608,2.780751,-0.734102,-0.048440,-0.166769,-0.393145,0.362311,2.625928,-0.947569,-0.054337,True,136,0,11.594,11.095,4.02,
30,342.361,311.372,-484.527,0.590393,-0.149093,0.139801,0.780809,-0.147428,-0.399576,0.373935,2.798827,-0.656603,-0.040181,-0.143946,-0.397065,0.361757,2.683240,-0.861832,-0.057715,True,75,0,12.912,9.688,3.34,
31,361.314,311.931,-479.291,0.593173,-0.128512,0.126308,0.784651,-0.126580,-0.406498,0.374313,2.812962,-0.586671,-0.025292,-0.125961,-0.405283,0.361259,2.671317,-0.810986,-0.037377,True,124,0,13.125,11.135,3.89,
32,381.113,310.994,-474.344,0.596159,-0.109852,0.109629,0.787724,-0.105835,-0.412566,0.373227,2.827008,-0.514787,-0.021200,-0.103644,-0.410368,0.359749,2.702974,-0.735302,-0.034402,True,90,0,13.831,10.542,3.51,
33,401.198,310.827,-470.713,0.598305,-0.088888,0.094533,0.790692,-0.083872,-0.417679,0.372900,2.838433,-0.440783,-0.009025,-0.083014,-0.417079,0.359340,2.708667,-0.668775,-0.013235,True,151,0,13.600,11.026,4.20,
34,421.809,311.109,-468.337,0.600628,-0.067932,0.078350,0.792775,-0.061577,-0.421281,0.373014,2.849588,-0.365005,0.000817,-0.060780,-0.420054,0.359382,2.724388,-0.596112,-0.005353,True,125,0,13.711,11.068,3.90,
35,442.222,311.684,-466.871,0.602410,-0.046882,0.062318,0.794368,-0.039313,-0.423777,0.373448,2.858500,-0.289255,0.011227,-0.038997,-0.422284,0.359204,2.739147,-0.521279,0.006693,True,120,0,14.326,11.004,3.84,
36,460.609,310.658,-466.053,0.603309,-0.029678,0.048203,0.795496,-0.019624,-0.425580,0.372300,2.864028,-0.225230,0.017717,-0.019864,-0.424483,0.357181,2.748408,-0.459747,0.015605,True,122,0,15.161,11.046,3.86,
37,476.582,311.810,-466.755,0.604192,-0.013041,0.035189,0.795954,-0.002195,-0.425684,0.373358,2.868562,-0.164404,0.025293,-0.001934,-0.423760,0.358500,2.757624,-0.397091,0.027555,True,123,0,14.985,10.918,3.89,
38,494.314,311.783,-468.003,0.605660,0.006145,0.021884,0.795399,0.017596,-0.424886,0.373090,2.874524,-0.097999,0.037741,0.017605,-0.423564,0.358769,2.768772,-0.335776,0.039825,True,117,0,14.382,11.002,3.80,
39,514.230,311.591,-469.990,0.606037,0.025731,0.006781,0.794991,0.039305,-0.423584,0.372746,2.876989,-0.026941,0.047113,0.039588,-0.421839,0.358889,2.779802,-0.267630,0.057260,True,132,0,13.969,10.941,3.98,
40,533.741,311.985,-473.358,0.605330,0.046321,-0.009442,0.794570,0.060673,-0.421090,0.373031,2.876139,0.048649,0.056121,0.054493,-0.426915,0.357357,2.774715,-0.180272,0.042190,True,220,0,17.827,10.784,5.07,
41,552.448,311.927,-477.391,0.604888,0.066953,-0.023039,0.793156,0.081805,-0.417483,0.372925,2.875151,0.118969,0.070920,0.080219,-0.422183,0.357466,2.788432,-0.125650,0.092360,True,300,0,16.236,10.984,6.00,
42,570.157,311.898,-482.012,0.604154,0.085268,-0.037774,0.791392,0.101191,-0.413285,0.372715,2.872865,0.187003,0.078445,0.106564,-0.414928,0.364697,2.789886,-0.066110,0.099674,True,172,0,9.791,11.264,4.62,
43,589.671,312.212,-488.308,0.602898,0.105569,-0.054430,0.788928,0.122579,-0.407411,0.372884,2.868549,0.263096,0.086339,0.112309,-0.413847,0.353396,2.788213,0.021896,0.082623,True,257,0,22.949,10.843,5.59,
44,602.137,309.664,-490.715,0.604993,0.118355,-0.065180,0.784683,0.135955,-0.404103,0.370003,2.872495,0.312278,0.091133,0.137476,-0.407017,0.354152,2.807046,0.065303,0.129636,True,154,0,16.188,10.797,4.28,
45,602.632,294.677,-476.807,0.620816,0.118733,-0.064743,0.772204,0.135443,-0.412716,0.353757,2.912453,0.315260,0.095235,0.133826,-0.415648,0.337558,2.844646,0.062272,0.114098,True,320,0,16.541,10.903,6.20,
46,602.184,279.006,-463.075,0.636472,0.119257,-0.063465,0.759377,0.134183,-0.420906,0.337017,2.952863,0.317243,0.101677,0.126233,-0.426204,0.310751,2.889321,0.064483,0.137478,True,184,0,27.949,10.745,4.71,
47,602.429,262.523,-449.881,0.652387,0.120089,-0.061598,0.745772,0.133666,-0.428407,0.319610,2.994500,0.318622,0.110142,0.128699,-0.434713,0.313299,2.937067,0.054317,0.140625,True,66,0,10.211,10.890,3.67,
48,602.564,245.401,-437.595,0.668128,0.121177,-0.059299,0.731714,0.133297,-0.434892,0.301873,3.036391,0.314033,0.134021,0.132497,-0.435898,0.284451,2.969556,0.055019,0.124067,True,132,0,17.468,10.764,4.09,
49,602.600,229.235,-426.694,0.682222,0.123634,-0.054909,0.718521,0.133617,-0.440500,0.285404,3.074170,0.315667,0.145789,0.179303,-0.448939,0.278188,2.947150,0.122762,0.381593,True,141,0,47.017,13.478,4.33,
